section-title,timestamp,excerpt
Devices and Digital Practice,00:00:00,"In the summer, like now, I work almost exclusively here on that computer. When I'm at work, when I'm teaching, I am often working a couple of hours a day during the day, and I work mostly on the office computer when I'm doing that. So, I'm always sending files back and forth."
Analog Practice: Notebooks &amp Notecards (Drafting by Hand),00:02:46,"What I do a lot is&#8212;I've brought some examples of this, if you want to see them&#8212;I write a lot when I'm walking. I take long walks and scribble in a notebook like this one. Just usually individual lines&#8212;let's see if I can find some examples. And then often I will transcribe them onto note cards."
Daily Process/Walking as Writing (Schedule and Routine),00:06:24,"I carry either note cards or a notebook with me and scribble things down as I'm walking."
Saving and Archiving Work,00:08:18,"Once a year I print out all the notes, all the computer writing I've done. I keep them in a bound journal that is by year. So this one, for example, is 1999&#8212;and you'll see that a lot of times, when I work on the computer, I'll write a kind of journal, just sort of what's going on and what I'm thinking about, and working with stray pieces of poems that I've written down by hand."
Seasonal Schedule and Teaching,00:11:21,"I'm a really obsessive writer, so when I'm writing I do it kind of nonstop. But I go long periods where I don't write&#8212;that's my kind of schedule."
Writing Career and Education,00:12:28,"I grew up in Macon, Georgia. I started writing poems when I was about twelve, and&#8212;really awful, awful poems when I was twelve. But I kept writing all through high school, and went Oberlin College where I took a lot of creative writing classes, majored in English. Then I went to Columbia University MFA program after that, immediately after that."
Early Writing Process/Editorial Career,00:16:51,"I was working on, as I said, a series of editorial jobs, and I did a lot of writing at work, which was nice because I had jobs working for PR offices at colleges and universities, but they were jobs where there was a huge amount of spare time where there was really nothing to do."
Transition to First Computer/Shift in Process,00:19:46,"I had a computer when I was writing my dissertation in Virginia in the early '90s."
Revision Practices,00:23:09,"When I'm revising, I say the poems aloud over and over, always&#8212;and often when I'm walking. I can always tell a poem is almost finished because I've come to the point where I've memorized it without trying to&#8212;just from saying it aloud so many times."
How Prose Notes Become Poems (Fragmentation and Association),00:25:00,"Yeah. Sometimes I'll roll dice to pick a page in the dictionary and open to that page, and just read that page until something in the words or the etymologies or the definitions trigger something."
Building the Progression of a Poem (Transfer to Computer/Digital Organization),00:29:25,"At first I don't worry about that at all. I just let lines accumulate, images accumulate, phrases&#8212;until I have a whole series of pages of drafts. Then I'll start worrying about it."
Drafting and Digital Tools (Google Translate/Aleatory Practice),00:35:38,"I took some of the passages of the Gospels and ran it through Google Translate to see what would happen to it. So they would be partly recognizable from the Gospels, but partly different and estranged. I didn't use exactly the phrasings that came out of Google Translate, but allowed it to shake up the familiar, biblical, canonical sayings in such a way that it became stranger, and gave me ideas for rephrasing things."
Connection Between Digital and Visual Poetics,00:39:56,"Because I'm writing about this geometrical shape, I'm working with the geometrical shapes of punctuation and typography. And that, I suppose&#8212;well, you can do that on a typewriter. That's an imported symbol from my computer, a mediated text."
Aesthetic/Poetic Transition (from Cohesion to Fragmentation),00:45:45,"I became much more interested in fragmentation and disruption, and imitating disruptive states of mind and disruptive states of knowledge with disruptions in the poems themselves. Whereas before that, I had been very interested in a kind of well-made poem that was coherent and imagistic and lyrical. I got bored with that mode and wanted to allow the poems to become stranger and more broken, and more intuitive and less logical, less linear."
Generative Practice via Automatic Writing/Printing Physical Copies/Labeling of Physical Files,00:49:41,"I was introduced to the idea of automatic writing where you just write whatever comes in your mind as a generative practice. For me, automatic writing sort of became a talking my way through a poem, or into a poem, and it's a practice I have kept."
Changes in Revision Process In Recent Work and Influence of Computers,00:52:00,"The sound is definitely more prominent now, but also I'm paying much more attention to the shape of words on the page, the visual appearance of the words."
Book-Making and Manuscript Revision Process,00:56:18,"It feels exactly like a large poem, in that now the individual poems are the stanzas&#8212;do to the book what the stanzas do to a poem&#8212;which means you can move them around and the poem changes meaning drastically according to where you start and where you end."
Online Research Tools and Digital Sources vs. Physical Books/Libraries,01:04:45,"I go to the Oxford English OED Online frequently, and I have poems in here that came out of OED definitions that are on the internet."
Email Correspondence and Collaboration During the Revision Process,01:09:26,"One of the things I'm doing this week is going through the manuscript with all three or four versions&#8212;with marginal comments from three different friends and from Suzanne&#8212;and I'm going to compare page by page and see where there are commonalities that they all agreed that something needs more work, where there are contradictions, and think through the contradictions."
Fundamental Change in Process/Practice via Computers (Context vs. Content),01:12:42,"Computers and internet have influenced the content of my poems a lot, doing a lot with websites, with that kind of radical interconnectivity of associative thinking that the internet suggests. I think that the dawn of the internet probably has changed the way I compose my poetics in certain way, and that it has given permission for more associative, mimetic thinking process that I associate with internet links."
