poet-id,url
gluck,https://www.poetryfoundation.org/poets/louise-gluck
pinsky,https://www.poetryfoundation.org/poets/robert-pinsky
beasley,https://brucebeasley.net/
mcmichael,https://www.poetryfoundation.org/poets/james-mcmichael
vanwinckel,https://www.poetryfoundation.org/poets/nance-van-winckel
mohammad,https://www.poetryfoundation.org/poets/k-silem-mohammad
ryan,https://www.poetryfoundation.org/poets/michael-ryan
wrigley,https://www.poetryfoundation.org/poets/robert-wrigley
gerstler,https://www.poetryfoundation.org/poets/amy-gerstler
armantrout,https://www.poetryfoundation.org/poets/rae-armantrout
strickland,https://www.poetryfoundation.org/poets/stephanie-strickland
