poet-id,poet,icon,line,excerpt
armantrout,Rae Armantrout,cloud,170,"I have Dropbox, but I am not using it for this. I'm using it for a class that I've been teaching with someone."
armantrout,Rae Armantrout,email,655,"I still don't do that. But I think email has pretty much ended that for most people. Now, people just shoot off emails and so I don't know what's happening to archives."
armantrout,Rae Armantrout,email,659,"I have saved emails, and even printed them out and given them to libraries, but I just—I think Ron saves everything. So, everything I send to him gets saved. That's how I look at it. He's my archivist. I mean, I only—you know, there's only so much space in my house."
armantrout,Rae Armantrout,email,691,"I don't remember my first email. I remember that Ron said that I had ""ramped up quickly."" That was flattering, so I remember it. "
armantrout,Rae Armantrout,email,700,"Which is really stupid because it's ""RAEA100900."" I shouldn't say that anything my son said was stupid, but he was only about fourteen and I guess he thought that was—I feel like I'm James Bond or something with that email address, but whatever."
armantrout,Rae Armantrout,email,935,You can constantly email your students and remind them of what they're supposed to be doing. I think its just made things easier for everyone.
armantrout,Rae Armantrout,groupfeedback,445,"I used to send them to more people. Lyn Hejinian, at first, and Bob Perelman, at first, and Lydia Davis, the fiction writer—she's a friend of mine. And later, Fanny Howe, too. Now, I mostly just send them to Ron, and once in a while, to Lydia. Very rarely to Lyn Hejinian, but still once in a while, like maybe twice a year. So, kind of that number of people has sort of shrunk."
armantrout,Rae Armantrout,tablet,41,I have an iPad and I have a Dell computer upstairs.
armantrout,Rae Armantrout,tablet,56,"Well, actually, I probably work primarily in this old school device called ""notebook"" where I, you know, fill pages with illegible text, and then once I start to think that my text is coming together, very often I'll do a version of it—just type it into the iPad"
armantrout,Rae Armantrout,tablet,500,"I got an iPhone maybe three years ago, and I got the iPad maybe two years ago. I don't know. Time's a blur."
armantrout,Rae Armantrout,notebook,56,"Well, actually, I probably work primarily in this old school device called ""notebook"" where I, you know, fill pages with illegible text, and then once I start to think that my text is coming together, very often I'll do a version of it—just type it into the iPad. "
armantrout,Rae Armantrout,notebook,346,"Well, I think, I always used a notebook. You know, I couldn't tell you exactly what the notebooks looked like way back then, but I always wrote by hand. I think I wrote by hand then—I'm sure I did longer, took me longer to write a poem, and it also stayed in the hand-written phase longer because back then, when you left the hand-written phase, you had to go to a typewriter."
armantrout,Rae Armantrout,notebook,377,"I don't know if I would cross out [during revision]. I think I would just, you know, go to another page and rewrite."
armantrout,Rae Armantrout,notebook,741,I'd probably have to have a few lines[in the notebook] before I thought it was worth reading them out loud. 
armantrout,Rae Armantrout,notebook,802,"Once I move to this [iPad], then I seldom go back to the notebook."
armantrout,Rae Armantrout,notebook,411,"I still, like I say, work in notebooks but I am sure that I started going from the notebook to the computer sooner than I would have on a typewriter, I am sure. But I don't have a clear memory of it. "
armantrout,Rae Armantrout,personalcpu,395,I probably got the computer by the late-80's
armantrout,Rae Armantrout,printer,131,"I mostly save over, which is not a good idea. But sometimes I have printed out drafts, and I save drafts."
armantrout,Rae Armantrout,printer,664,"What I do now is, if there's anything that seems especially interesting or valuable, I'll print it out and keep it."
armantrout,Rae Armantrout,printer,659,"I have saved emails, and even printed them out and given them to libraries"
armantrout,Rae Armantrout,printer,981,"If I'm judging a contest or something, which I sometimes do, I ask for hard copies. Or if I get them on the screen, I print them because I just don't like to read on the screen. I mean, I don't want to sit up there on a hard chair. I don't want to look at that light"
armantrout,Rae Armantrout,reading aloud,741,"I probably—well, in between—not the first line, but I'd probably have to have a few lines before I thought it was worth reading them out loud"
armantrout,Rae Armantrout,thesisbinder,204,These are called thesis binders. This one is all beaten up. But you can't really even buy them. You used to be able to buy them in stationary stores.
armantrout,Rae Armantrout,thesisbinder,212,"So, this is really old school. But the way I use it is, it helps me order—not only keep the poems for the manuscript, but I order the manuscript this way. I mean, I kind of decide what reads well by trying the poems out in different places within this manuscript so that I don't do that thing you hear about writers doing about spreading the pages all over the floor, or all over the walls, or something. Because I've already been deciding as I went along by where I place them in this thesis binder."
armantrout,Rae Armantrout,typewriter,346,"You're too young to know about typewriters, but they were enormously irritating because if you made any mistakes, you had to either start over or put whiteout on it, or you know, etcetera. And then, you would make a copy. I mean, you would print it out and if you wanted another copy, you'd have to type it again."
armantrout,Rae Armantrout,usb,664,"I know you can save things on your hard drive and give your hard drive to a library, but God knows what's on my hard drive"
beasley,Bruce Beasley,boxes,106,"I have a lot. I have a box of them this big, in no particular order. The other thing I do—you might be interested in—is once a year I print out all the notes, all the computer writing I've done. I keep them in a bound journal that is by year. So this one, for example, is 1999—and you'll see that a lot of times, when I work on the computer, I'll write a kind of journal, just sort of what's going on and what I'm thinking about, and working with stray pieces of poems that I've written down by hand."
beasley,Bruce Beasley,boxes,501,"I would just keep them in a box, I think, until the end of the year, and then bind them up into a notebook."
beasley,Bruce Beasley,email,46,"Things that I put in my office computer, I have to email to myself if I want to work on them here."
beasley,Bruce Beasley,email,666,[My writing colleagues] email the manuscript and they send me back notes and all.
beasley,Bruce Beasley,filecabinet,674,"I have over here in my file cabinet a file called ""Poems: Feedback from Readers,"" where I keep all the physical copies of all the poems that have come back from the people I've shown them to, which I use a lot in revising."
beasley,Bruce Beasley,groupfeedback,647,"We read all of each other's work. We tend to read each other's work when we reach the point we call, ""exhausting our resources, which means that you've revised enough that there is nothing in the draft that makes you—that you know you could improve. You've reached the point where you've done everything you can to it, and it's time to get somebody else's feedback. Suzanne will read my work, and she's a really great reader, and give me really honest feedback on what's working well and what needs work. And then I have, I don't know, four or five friends that I tend to share my work with. Usually after Suzanne has read it and I've revised it further, I'll send to them."
beasley,Bruce Beasley,groupfeedback,674,"I have over here in my file cabinet a file called ""Poems: Feedback from Readers,"" where I keep all the physical copies of all the poems that have come back from the people I've shown them to, which I use a lot in revising."
beasley,Bruce Beasley,tablet,,
beasley,Bruce Beasley,laptop,22,"I have a laptop, a Toshiba Satellite laptop computer, and that's mainly it."
beasley,Bruce Beasley,libraryresearch,620,"Yeah. I still spend a lot of time in libraries, but yeah. It [the internet] allows me to do things right here that I used to have to go to a library for."
beasley,Bruce Beasley,notebook,80,Yeah. I carry either note cards or a notebook with me and scribble things down as I'm walking.
beasley,Bruce Beasley,notebook,88,"Often I'll start with a title like that and start mulling it—and scribbling down lines for it in a journal like this one, and then when I get enough lines, either put them on note cards or just sit down with a computer and a notebook and start transcribing and moving around things that I've written in the notebook."
beasley,Bruce Beasley,notebook,106,"I have a lot. I have a box of them this big, in no particular order. The other thing I do—you might be interested in—is once a year I print out all the notes, all the computer writing I've done. I keep them in a bound journal that is by year. So this one, for example, is 1999—and you'll see that a lot of times, when I work on the computer, I'll write a kind of journal, just sort of what's going on and what I'm thinking about, and working with stray pieces of poems that I've written down by hand."
beasley,Bruce Beasley,notebook,299,"Just associatively. ""Clean machine,"" for example, sounds good to me. I would write on a note card or notebook ""clean machine,"" even though that doesn't mean anything to me. What's a ""clean machine'? And walking, I'll start thinking about a ""clean machine,"" just as an example. So, yes: how do you get from that prose to lines?"
beasley,Bruce Beasley,notebook,497,"So, on a typewriter I'll just save the pages and bind them into a notebook."
beasley,Bruce Beasley,personalcpu,30,"My office computer … is a desktop. … Windows 7—or that's Windows 8, now. In the summer, like now, I work almost exclusively here on that computer. When I'm at work, when I'm teaching, I am often working a couple of hours a day during the day, and I work mostly on the office computer when I'm doing that. So, I'm always sending files back and forth"
beasley,Bruce Beasley,printer,309,"I really try, especially when I write long poems—which a lot of my poems are—not to impose any order on it until I've got pages and pages of lines. Then I'll print them out"
beasley,Bruce Beasley,printer,106,"The other thing I do—you might be interested in—is once a year I print out all the notes, all the computer writing I've done. … somehow it's important to me to have it all printed out. Because when I'm writing and in between poems, I'll often skim through the printouts of previous years, looking for pieces of poems I've started but never finished, or just stray lines that didn't go anywhere but now they do."
beasley,Bruce Beasley,printer,,"[The poems were] printed out on these long rolls of printer paper, you know? Those old-style printer rolls?"
beasley,Bruce Beasley,readingaloud,437,"I have a very particular way of reading it where I try to space out the sounds of the letters that are on either side of the omega, so that that central absence is there, and it's formed by sounds rather than a visual shape on the page."
beasley,Bruce Beasley,typewriter,90,"I can't remember the last time, and I may never have done it—written an entire poem by hand without a typewriter or a computer. I just don't work that way."
beasley,Bruce Beasley,typewriter,93,"I generate fragments of the poem, but the act of consolidating and moving them, and making a poem out of them—for me it's always been done on a computer, or a typewriter before that."
beasley,Bruce Beasley,typewriter,185,"But I had a lot of spare time, so I would write a lot at work on my typewriter—this was before computers."
beasley,Bruce Beasley,typewriter,408," I'm very interested in some of the visual poets, poets like Ronald Johnson. His early work which is all typewriter-based, but he does some amazing things with the shape of the words and the appearance of the words using the typewriter."
beasley,Bruce Beasley,typewriter,687,"[The internet] hasn't really changed my composition process a whole lot, because I was doing on typewriters what I'm now doing on computers. It's made it easier to cut and paste, and to move things around."
beasley,Bruce Beasley,walking,54,I write a lot when I'm walking. I take long walks and scribble in a notebook like this one. Just usually individual lines … taking long walks and just scribbling down random lines. I can write individual lines by hand.
gerstler,Amy Gerstler,cloud,1586,"The book is the thing, and then in the floating galaxy of Carbonite, there's also a copy of it and that's sort of enough."
gerstler,Amy Gerstler,email,1760,"I mean, I had a postal scale. I, you know... Everything was like weighing stuff, going to the post office, and stamps, and, you know, printing—you know, which was fine. But now, I mean, email is a dream."
gerstler,Amy Gerstler,email,1776,"Email is, I think, great for writer correspondence, for sending people...I mean, going back and forth with revisions—all that."
gerstler,Amy Gerstler,email,1800,"Yeah, email has many of the same characteristics but is different from a written letter and... Letter written on a manual typewriter is different from, you know, Charles Dickens dipping his pen, if that's indeed what he did, you know."
gerstler,Amy Gerstler,email,1808,"Some emails I print out, and many I save by leaving them on the computer."
gerstler,Amy Gerstler,groupfeedback,1776,"But, no, email's, I think, great for writer correspondence, for sending people.. I mean, going back and forth with revisions—all that."
gerstler,Amy Gerstler,tablet,130,"I have an iPad mini--which I don't write on that much, but I write on a little and it's like an iPad but it's a little smaller. It's like kind of purse-size."
