poet,detail,tag,quote
gluck,"Reading poems backwards divorces editorial attention from meaning and refocuses it toward syntax and mechanics. ",revision,"[reading mss backwards] Oh yeah. I still do that. It's horrible, and you need someone to help you. Your eye makes substitutions, so unless you read it out of order&#8212;i.e. backwards&#8212;you're going to be doing that."
gluck,"Teaching is an integral source of inspiration—and a way out of writer's block.",teaching,"The minute I started teaching, I started writing again. I still feel about teaching that it's the most miraculous thing I've ever discovered, because I can't always write, and long periods go by and I don't write. But I can always teach, and I will always meet people who fascinate me and who are doing things, who have minds that go places my mind has never gone. "
gluck,"Entire manuscripts are sometimes revised at the line level due to the late addition of a single poem or other new element. ",mss;revision,"Yeah, and then sometimes there will be a massive revision. One edition to an accumulating manuscript makes it clear how the thing should be ordered, and then you see you can make a lot of short, little changes in the other stuff because of this new thing."
gluck,"The repetitve nature of the typewriter aides in revealing previously missed issues in a poem.",paper;early;highlight;revision,"So it's a new sheet of paper, and you have to do the whole thing again, and problems emerge in those retypings, like your fingers will hesitate over something you thought was resolved, and you realize it's not resolved."
gluck,"Initial inspiration for books comes from slight obsessions with often unusual sources—garden catalogues, telephone weather reports, etc.",prompt,""
gluck,"A slower writing practice lends more clarity to larger, holistic revision and structural considerations.",mss;revision,"You learn how to be an editor out of a sense of lack, and from that grows a capacity to organize disparate things into something that has a sense of dramatic shape."
gluck,"The visual experience of seeing a poem on paper is how a poem is truly heard.",paper,"I hear with my eyes. I mean, the experience of reading a poem&#8212;for me, with my eyes&#8212;contains an oral experience."
gluck,"Feedback is important, but from whom it is requested varies in accordance with the particular poem or project. ",correspondence,"They change. I mean, it's certain periods, certain people. Sometimes, you'll feel these poems&#8212;if they're ever going to be understood by anyone&#8212;will be understood by X. And you're usually right&#8212;when X says, This won't do, you trust it, because the person is basically on the side of the work."
gluck,"Composing on a screen inhibits otherwise natural and fluid stylistic choices about line and diction.",paper;early,"I don't get that on the screen. I don't see lines on the screen quite the same way, and I don't feel as though I'm making the letter."
gluck,"Judging the Yale Younger Poets Series and working on final manuscripts with winners was a joy, and one not unlike that found in teaching. ",yaleyounger;teaching,"Then I would make very detailed recommendations, which they were free to not take because the book had won. On the other hand, they weren't free to change the books any which way because I could say, This is not the book I chose."
gluck,"Finalists for the Yale Younger Poets Series were filtered through a pre-screened team of readers, a system that ensured a diverse final round of manuscripts.",yaleyounger,"I had great people screening for me and they were people whose judgments I trusted and who sent me very broadly diverse manuscripts."
gluck,"Though all composition is done on paper, digital proofs are reviewed. But then it's back to paper for any changes or fixes.   ",between,"I cannot imagine typing poems on that board."
gluck,"Though archived, most original drafts and documents are either typed on a typewriter or written longhand, and with very little marginalia/notation.",early; future,"It's one of the reasons that my papers are not valuable, because there will be pages with little scribbles, but usually I just put in a new piece."
pinsky,"Early drafts are printed out for notation, then memorized and recited for revision.",prompt;between;revision,"See if you have the poem by memory. Turn the light off while going to sleep and try to recite the poem. If you come to a part you don't have memorized, maybe that's the part you need to work on."
pinsky,"The process of a poem's creation involves both digital and analog methods, but physical engagement with the poem—printouts, oral recitation, etc.—is most integral.  ",between; paper,"I do all of the above. I write longhand on paper, I compose on a computer, more process of revising."
pinsky,"An individual digital file of every version of a poem is stored, numbered, and referenced throughout the evolution of a draft.",between; files,"I think in some things I've gone up to DR104 in the file menu."
pinsky,"The original Word Perfect word processing software was preferable for its simple, user-friendly interface, but unfortunately didn't last.",early;software,"I'm an early computer user, so I probably started using it in the mid-80s."
pinsky,"The final venue for a piece of writing—the screen or printed page—determined how the piece would be composed. ",early;software,"For a long time, anything I wrote to be read on the screen, I wrote on the computer and things I meant to be read off paper, I wrote on paper."
pinsky,"The IBM Selectric was a favorite tool for composition.",early,"It was like a BMW. It was such an excellent machine—that golf ball click-click-click."
pinsky,"The early 80's computer game Mindwheel was composed entirely on an Atari.",early,"I still remember that monochrome, yellow, black-on-yellow monitor that weighed more than anybody's big flat screen TV. It was immense."
pinsky,"Computer skills have been self-taught over the years, a process which has benefited from having began in the early days of computers.  ",early,"Adept is a relative term compared to all the other writers and poets I know. I guess I'm adept compared to any 15-year-old. I try hard."
pinsky,"The ease of inserting passages on computers may have led to an increase in bloated prose.",early;change,"I've met an editor who said she thinks prose declined—people started writing much more poorly—when the computer made it so easy to insert passages."
pinsky,"Though digitally stored in a meticulous manner, old drafts are considered of little value beyond occassional review later on.",files;future,"I look at it and I sometimes feel the way I told you I feel about the family photographs. Nobody wants all this."
pinsky,"Teaching has helped with staying current with contemporary poetry and what is esteemed.",teaching;change,"I'm proud—it's an honorable profession, and I think I've probably helped more people than I've hurt people."
pinsky,"Writing letters to other writers has been used as a warm-up for writing poetry.",change;correspondence,"I used to write a lot of letters. They used to be a way I would warm up."
pinsky,"The generation of new content immediately follows inspiration—very little precedes the writing of the first lines. ",prompt,"I have never kept notes. I'm not a note maker. I would get an idea for a poem and I would write it."
pinsky,"The true beginning of a new draft comes from an attention to sound—the actual material content is secondary.",prompt,"The poem starts when you start thinking about the vowels and consonants."
pinsky,"The ordering of a manuscript is intuitive, but involves an attention to the introduction and subsequent amplification of new ideas and thematic elements.",mss,"I guess it's different for each book. I'm not sure how to answer. It's intuitive."
pinsky,"The initial draw to poetry was in response to its more oral tradition.",career,"This was more physical in some way. More bodily, let's say."
pinsky,"Digital archiving has lead to a new anxiety in regard to the longevity of stored documents.",future,"The new anxiety is the mortality of digital information."
pinsky,"Many word processors have been used over the years, such as Nissus Pro, Scrivner, Word, and Word Perfect, but ease of use and simplicity of the program is most important.",software,"In a way, I use all of the above but I'm not loyal to any particular word processor."
beasley,"The internet facilitates leaps in thought, association, and poetic imagination.",change,"Computers and internet have influenced the content of my poems a lot, doing a lot with websites, with that kind of radical interconnectivity of associative thinking that the internet suggests. I think that the dawn of the internet probably has changed the way I compose my poetics in certain way, and that it has given permission for more associative, mimetic thinking process that I associate with internet links."
beasley,"How the internet thinks in relation to poetic composition.",change,"And that, I think, was one of the first poems where I consciously wrote a poem whose thinking was related to the way I think the internet thinks&#8212;if we can call the internet a thinker."
beasley,"Ongoing value of paper processes.",paper;change;between,"There is something about writing out the sections of a poem on a card and then moving them around that I find more satisfying even than doing it on the computer."
beasley,"Contemporary practice involves a necessary back & forth between paper and screen. ",prompt;paper;printdig;between,"I can write individual lines by hand. When it comes to a whole poem, I do it almost exclusively on the computer. This one says, Even the evenings are odd, even the odds are even/ offspring, autumnal, equinox, off kilter, which are not lines I ended up using but often, when I'm doing this kind of walking, I'll end up with a stack this big of note cards, and then when I'm at the computer, I shift them around and type them up, and rearrange them and shuffle them and move them into different places."
beasley,"If stray words and lines are generative rolls of the dice, digital composition deals a hand (for more on this & related processes, see Bruce Beasley's Prompt Generator).",prompt;paper;printdig;between,"I'm a big fan of craps and gambling, and I like to think of words as, like, rolls of the dice, in a way. So often when I'm beginning a poem, I'll start with the straight lines and images, or phrases, quotations&#8212;like this&#8212;and then when I'm sitting down with a computer, I'll deal them out with something like&#8212;You're in geometry."
beasley,"Archiving involves a yearly retrospective of digital files, and the chance to revisit both stray lines and process notes. ",paper;future;between,"The other thing I do&#8212;you might be interested in&#8212;is once a year I print out all the notes, all the computer writing I've done. I keep them in a bound journal that is by year. So this one, for example, is 1999&#8212;and you'll see that a lot of times, when I work on the computer, I'll write a kind of journal, just sort of what's going on and what I'm thinking about, and working with stray pieces of poems that I've written down by hand."
beasley,"Tecnology has had less influence on composition process, and more on the ways poems take physical shape. ",early,"So just doing essentially what I do now&#8212;large chunks of prose that would lead to ideas and sort of mull through ideas&#8212;but I was typing it on a Selectric typewriter."
beasley,"If the internet facilitates a leaping quality of thought, walking and flipping offer complementary rhythm.",prompt;revision,"There is something about the action, repetitive action of throwing and catching, that's always been really important to generating ideas. It's similar to the kind of rhythm I have when I'm walking, I think&#8212;that kind of rhythmic catch and release. So often when I'm writing, all through my life, I have kept this thing with me and I flip it while I'm thinking. Often, I can't think unless I'm doing that. It's a kind of kinetic thing, I think, and when I'm walking, often I have a stick, a stick that I'm flipping or throwing around, too."
beasley,"Transitions from screen to page become an exercise in fruitful disorder. ",printdig;prompt;revision,"I just let lines accumulate, images accumulate, phrases&#8212;until I have a whole series of pages of drafts. Then I'll start worrying about it. I try not to make myself&#8212;I know poets who write from the first line on: begin with the first line and then write the second one. Linda Bierds once told me she writes that way, which astonished me because it's so utterly unlike anything I do. But I really try, especially when I write long poems&#8212;which a lot of my poems are&#8212;not to impose any order on it until I've got pages and pages of lines. Then I'll print them out."
beasley,"Files organization goes hand in hand with revision process. ",files;revision,"You'll see I have a whole bunch of lines that I'm working on, and what I often do is just copy those, and write some prose about them&#8212;sort of identifying what I like about it and what's bugging me about it, what I don't like about it&#8212;and then paste it back again, move things around. Often, I'll put bold face when this is a revision process, when I get to a place that I don't like or feels clunky, I'll bold face it so that I can come back to it and just say, What am I going to do to fix that?"
beasley,"Spare time on the job as key to first-book drafting. ",career,"There was an old, famous ad campaign for Maytag washing machines, and the joke of it was that the washing machine never broke down; so they had Maytag Repairs, and the Maytag Repairs people were just really bored, they had nothing to do. So, I had a sign on my desk that said Maytag Repairs. But I had a lot of spare time, so I would write a lot at work on my typewriter&#8212;this was before computers. So, I wrote a lot of my first book in those jobs."
beasley,"Revision as a means to heighten the evolving logic of the manuscript.",mss,"I revise my poems to help them illustrate the structure of the book."
beasley,"Same writing group for sharing work from pre- to post-email era.",correspondence,"Mostly. Some of them&#8212;two or three of them are people I went to graduate school with at Virginia. We had a writing group where we all met once a week while we were at grad school, and we've sort of continued over the years through the internet."
mcmichael,"Writing process stayed the same until final book, so until about 2010 or so",early;prompt; between;paper,"The process through all of the books until this most recent one was all long-hand and then typewriter"
