detail,tag,quote
,,
Reading poems backwards divorces editorial attention from meaning and refocuses it toward syntax and mechanics. ,revision,"[reading mss backwards] Oh yeah. I still do that. It's horrible, and you need someone to help you. Your eye makes substitutions, so unless you read it out of order&#8212;i.e. backwards&#8212;you're going to be doing that."
Teaching is an integral source of inspiration—and a way out of writer's block.,teaching,"The minute I started teaching, I started writing again. I still feel about teaching that it's the most miraculous thing I've ever discovered, because I can't always write, and long periods go by and I don't write. But I can always teach, and I will always meet people who fascinate me and who are doing things, who have minds that go places my mind has never gone. "
Entire manuscripts are sometimes revised at the line level due to the late addition of a single poem or other new element. ,mss;revision,"Yeah, and then sometimes there will be a massive revision. One edition to an accumulating manuscript makes it clear how the thing should be ordered, and then you see you can make a lot of short, little changes in the other stuff because of this new thing."
The repetitve nature of the typewriter aides in revealing previously missed issues in a poem.,paper;early;highlight;revision,"So it's a new sheet of paper, and you have to do the whole thing again, and problems emerge in those retypings, like your fingers will hesitate over something you thought was resolved, and you realize it's not resolved."
"Initial inspiration for books comes from slight obsessions with often unusual sources—garden catalogues, telephone weather reports, etc.",prompt,
"A slower writing practice lends more clarity to larger, holistic revision and structural considerations.",mss;revision,"You learn how to be an editor out of a sense of lack, and from that grows a capacity to organize disparate things into something that has a sense of dramatic shape."
"The visual experience of seeing a poem on paper is how a poem is truly ""heard.""",paper,"I hear with my eyes. I mean, the experience of reading a poem&#8212;for me, with my eyes&#8212;contains an oral experience."
"Feedback is important, but from whom it is requested varies in accordance with the particular poem or project. ",correspondence,"They change. I mean, it's certain periods, certain people. Sometimes, you'll feel these poems&#8212;if they're ever going to be understood by anyone&#8212;will be understood by X. And you're usually right&#8212;when X says, ""This won't do,"" you trust it, because the person is basically on the side of the work."
Composing on a screen inhibits otherwise natural and fluid stylistic choices about line and diction.,paper;early,"I don't get that on the screen. I don't see lines on the screen quite the same way, and I don't feel as though I'm making the letter."
"Judging the Yale Younger Poets Series and working on final manuscripts with winners was a joy, and one not unlike that found in teaching. ",yaleyounger;teaching,"Then I would make very detailed recommendations, which they were free to not take because the book had won. On the other hand, they weren't free to change the books any which way because I could say, ""This is not the book I chose."""
"Finalists for the Yale Younger Poets Series were filtered through a pre-screened team of readers, a system that ensured a diverse final round of manuscripts.",yaleyounger,I had great people screening for me and they were people whose judgments I trusted and who sent me very broadly diverse manuscripts.
"Though all composition is done on paper, digital proofs are reviewed. But then it's back to paper for any changes or fixes.   ",between,I cannot imagine typing poems on that board.
"Though archived, most original drafts and documents are either typed on a typewriter or written longhand, and with very little marginalia/notation.",early; future,"It's one of the reasons that my papers are not valuable, because there will be pages with little scribbles, but usually I just put in a new piece."
