start,end,line
0:00:00.030,0:00:08.21,these may not be virgins but I could

0:00:04.140,0:00:11.19,find versions how do you want to do that

0:00:08.210,0:00:12.99,well we can we can uh I think right now

0:00:11.190,0:00:15.03,we can just talk about it anything at

0:00:12.990,0:00:16.47,the end I've got a camera too I could

0:00:15.030,0:00:18.15,just take some pictures of that and then

0:00:16.470,0:00:20.16,have a kind of s photographs sure I

0:00:18.150,0:00:23.18,think it's probably the best okay the

0:00:20.160,0:00:25.38,best way so and then how do you save

0:00:23.189,0:00:28.71,your prewriting your notes there I mean

0:00:25.380,0:00:30.77,I have a bunch of these filling up my

0:00:28.710,0:00:34.07,shelves and when you know right now I

0:00:30.779,0:00:37.37,have way too many a couple of times I've

0:00:34.070,0:00:40.23,sold or donated my papers to archives

0:00:37.370,0:00:44.09,including Stanford and also at UC San

0:00:40.230,0:00:44.09,Diego and when I do I also include

0:00:46.969,0:00:52.71,hundreds maybe thousands okay is it do

0:00:50.610,0:00:56.34,you always go for like the same kind of

0:00:52.710,0:00:58.07,size or pretty much I like I like it to

0:00:56.340,0:01:00.39,be able to fit in my purse because I

0:00:58.079,0:01:03.42,take it with me and you know sometimes I

0:01:00.390,0:01:05.12,write at a cafe or you know someplace

0:01:03.420,0:01:07.08,out in the world so I want to be able to

0:01:05.129,0:01:09.47,stick it in my purse right right on the

0:01:07.080,0:01:11.13,airplane whatever you know so it's nice

0:01:09.479,0:01:13.65,if it's about this size and it's nice if

0:01:11.130,0:01:19.47,it's flexible okay and it's nice if it's

0:01:13.650,0:01:21.29,not expensive so in in terms of you

0:01:19.470,0:01:26.54,digital files what format you usually

0:01:21.299,0:01:28.17,work I dock it okay that's it as you're

0:01:26.549,0:01:30.75,working in those formats do you save

0:01:28.170,0:01:33.57,drafts of the individual documents or do

0:01:30.750,0:01:35.52,you save over those drafts you know I

0:01:33.570,0:01:35.88,mostly save over which is not a good

0:01:35.520,0:01:37.97,idea

0:01:35.880,0:01:41.31,but sometimes I have printed out drafts

0:01:37.979,0:01:43.25,and I I save drafts to is you know I

0:01:41.310,0:01:46.22,probably don't save all of them which is

0:01:43.250,0:01:48.11,not great but I save a number of them

0:01:46.229,0:01:50.97,and then eventually I'll probably give

0:01:48.119,0:01:52.95,them to the library and then you're

0:01:50.970,0:01:56.39,emailing them back yeah so that sort of

0:01:52.950,0:01:59.27,address so that also yeah and what are

0:01:56.399,0:02:01.53,your naming conventions for your files I

0:01:59.270,0:02:02.88,just named it I mean whatever the title

0:02:01.530,0:02:06.03,of the poem whatever the tiler

0:02:02.880,0:02:08.47,and then you know I don't I mean I I

0:02:06.030,0:02:11.06,number them sometimes I'll have you know

0:02:08.479,0:02:14.19,such and such a title one such and such

0:02:11.069,0:02:16.29,a title two such but when that gets too

0:02:14.190,0:02:19.26,confusing sometimes all just erase the

0:02:16.290,0:02:21.81,old ones so I'm not I'm not a very I'm

0:02:19.260,0:02:26.30,not a very good curator of my own

0:02:21.810,0:02:26.30,history yeah

0:02:30.030,0:02:36.69,do you back up anyway not as much as I

0:02:34.590,0:02:39.29,should I mean I backed I do have a

0:02:36.690,0:02:43.20,backup on a zip drive but I haven't

0:02:39.299,0:02:45.15,backed up for several months so I'm

0:02:43.200,0:02:48.18,careless and then when you're sending

0:02:45.150,0:02:50.70,these emails back and forth or is it

0:02:48.180,0:02:53.48,like a Gmail or some sort of yeah I'm

0:02:50.700,0:02:56.48,sorry I mean you could go back and find

0:02:53.489,0:02:58.56,them that way in some ways Esther so

0:02:56.489,0:03:01.38,you're not using a Dropbox or any other

0:02:58.560,0:03:03.69,cloud-based know I have Dropbox but I'm

0:03:01.380,0:03:05.70,not using it for this I'm using it for a

0:03:03.690,0:03:09.06,class that I'm teaching with someone

0:03:05.700,0:03:17.88,okay but I could use it that way I mean

0:03:09.060,0:03:19.65,it's something to think don't you have

0:03:17.880,0:03:26.97,you ever have files saved in more than

0:03:19.650,0:03:28.85,one location um no I mean I I well the

0:03:26.970,0:03:31.07,zip drive and a computer hard drive yeah

0:03:28.859,0:03:33.87,that would be it okay as well on paper

0:03:31.079,0:03:35.37,you know that would be it and then when

0:03:33.870,0:03:37.35,you're finished with the piece how do

0:03:35.370,0:03:43.95,you is there anything special that you

0:03:37.350,0:03:46.04,do for that file or no I pretty much you

0:03:43.950,0:03:49.31,know if I get I pretty much know what

0:03:46.049,0:03:51.09,just the finest final version mm-hmm and

0:03:49.319,0:03:52.95,if I start to get confused like I say I

0:03:51.090,0:04:00.76,just erased the others which is probably

0:03:52.950,0:04:03.32,a bad idea okay and then what about the

0:04:00.769,0:04:06.15,like the final like bird you like the

0:04:03.329,0:04:08.19,books in the what happened this is what

0:04:06.150,0:04:11.51,I do okay I'm gonna take these out

0:04:08.190,0:04:14.79,because these newspapers are not very

0:04:11.519,0:04:15.87,significant those are rough copies that

0:04:14.790,0:04:17.37,I took with

0:04:15.870,0:04:20.76,to give a reading somewhere so that's

