start,end,line
0:00:00.000,0:00:13.98,thank you all right um so I basically
0:00:11.040,0:00:15.75,got a few little sections to this the
0:00:13.980,0:00:17.27,first section is kind of like where
0:00:15.750,0:00:18.86,you're right now with your with more
0:00:17.279,0:00:21.11,digital work and sort of technical
0:00:18.869,0:00:22.76,processes that you use and then the
0:00:21.119,0:00:24.99,second session will kind of go through
0:00:22.760,0:00:26.51,your compositional practices and how
0:00:24.990,0:00:28.18,they've changed or not that courses of
0:00:26.519,0:00:30.57,your career
0:00:28.189,0:00:32.82,so the first one is not all the thumbs
0:00:30.570,0:00:35.01,like short answer and get will go fairly
0:00:32.820,0:00:36.71,quickly if you would for the camera
0:00:35.010,0:00:38.30,please state your name your data first
0:00:36.719,0:00:41.94,in the location where we are right now
0:00:38.309,0:00:45.69,Bruce Paisley date of birth January 20th
0:00:41.940,0:00:47.43,1958 and we're in my writing cottage in
0:00:45.690,0:00:53.21,my studio in the back of my hands
0:00:47.430,0:00:57.48,no watching what dramas are you working
0:00:53.210,0:00:59.12,poetry only okay and welcome what kinds
0:00:57.480,0:01:03.05,of devices do you own or have access to
0:00:59.129,0:01:06.08,for writings devices yeah you mean like
0:01:03.059,0:01:09.15,computers sure yeah I have a laptop
0:01:06.080,0:01:12.63,Toshiba laptop satellite to achieve a
0:01:09.150,0:01:15.65,satellite laptop computer um and that's
0:01:12.630,0:01:17.82,mainly that it C do you have a tattoo
0:01:15.659,0:01:19.22,you work on a tablet or phone or
0:01:17.820,0:01:21.36,anything like that or you know pretty
0:01:19.229,0:01:26.03,primarily on that on that on that and my
0:01:21.360,0:01:28.65,office computer which is a disc okay and
0:01:26.030,0:01:31.17,so in the operating system in which you
0:01:28.650,0:01:34.82,work is that a Windows Windows 7 prep
0:01:31.170,0:01:37.04,swing state um do you work on that
0:01:34.829,0:01:42.15,office computer very often or is is that
0:01:37.049,0:01:44.46,I do when I'm in the summer like now I
0:01:42.150,0:01:49.32,work almost exclusively here on that
0:01:44.460,0:01:53.93,computer yeah um when I'm rich work when
0:01:49.320,0:01:55.25,I'm teaching I'm often working a couple
0:01:53.939,0:01:56.93,hours a day
0:01:55.259,0:01:59.27,you know something during the day and I
0:01:56.939,0:02:01.50,work mostly on the office computer lab
0:01:59.270,0:02:03.29,I'm always tell you bounce back and
0:02:01.500,0:02:05.79,forth and how do you do that do you
0:02:03.299,0:02:06.11,email them to yourself or Carbonite on
0:02:05.790,0:02:08.16,this
0:02:06.119,0:02:10.22,Peter okay so you haven't call up these
0:02:08.160,0:02:13.23,files they are easily maybe not
0:02:10.229,0:02:14.91,vice-versa so oh they don't have things
0:02:13.230,0:02:17.43,that I put on my office computer I have
0:02:14.910,0:02:19.20,to email to myself or work on here okay
0:02:17.430,0:02:20.45,so you don't have the folder on your on
0:02:19.200,0:02:24.50,your office computer you just have the
0:02:20.459,0:02:24.50,time of shared folder here yeah okay
0:02:24.620,0:02:32.94,do you use computers exclusively or do
0:02:27.510,0:02:37.20,you also work with physically I use
0:02:32.940,0:02:39.32,computers mostly what I do a lot enzyme
0:02:37.200,0:02:44.22,I brought some examples of this I'm very
0:02:39.329,0:02:49.14,messy yeah um I write a lot when I'm
0:02:44.220,0:02:54.51,walking ok so I think long walls and in
0:02:49.140,0:03:04.86,a scribble enough book like this just
0:02:54.510,0:03:06.73,usually individual lines and and then
0:03:04.860,0:03:11.40,often L will alone
0:03:06.739,0:03:13.70,transcribe Monda note cards okay just
0:03:11.400,0:03:15.56,you know this says you're a missive
0:03:13.709,0:03:19.47,offspring that holds what you've got in
0:03:15.569,0:03:22.50,there um which is uh lines that I was
0:03:19.470,0:03:25.73,working toward up Ponemah come offspring
0:03:22.500,0:03:27.56,in sperm which is a response to a
0:03:25.739,0:03:30.48,sculptor named Bruce peas when he has
0:03:27.569,0:03:32.31,determinism ohoo uh we've been doing
0:03:30.480,0:03:34.62,this kind of collaboration Oh neat and
0:03:32.310,0:03:38.84,I've been writing my self-portrait
0:03:34.620,0:03:41.48,through the lens of his sculptures so he
0:03:38.849,0:03:43.26,sent me a sculpture called offspring
0:03:41.489,0:03:46.07,which is in a house if you want to see
0:03:43.260,0:03:48.56,it one of his sculptures yeah I wrote a
0:03:46.079,0:03:51.85,poem called offspring in sprung
0:03:48.560,0:03:54.45,responding to his sculpture yeah and um
0:03:51.859,0:03:57.66,so when I was writing that I was taking
0:03:54.450,0:04:00.56,long walks and just scribbling down
0:03:57.660,0:04:03.51,random lines yeah I can write individual
0:04:00.569,0:04:05.60,lines by hand when it comes to a whole
0:04:03.510,0:04:09.27,poem I do it
0:04:05.600,0:04:11.73,okay so this one says even the evenings
0:04:09.270,0:04:14.66,are odd even odds are even
0:04:11.730,0:04:16.86,offspring terminal equinox off-kilter
0:04:14.660,0:04:20.82,what you're not lines I ended up using
0:04:16.860,0:04:23.16,but so often when I'm doing this kind of
0:04:20.820,0:04:25.26,walking I'll end up with a stack let's
0:04:23.160,0:04:26.94,take another card yeah and then when I'm
0:04:25.260,0:04:29.85,at the computer I'll ship them around
0:04:26.940,0:04:31.77,and take a mop it and rearrange them and
0:04:29.850,0:04:33.75,shuffle them and move them into
0:04:31.770,0:04:35.37,different places closely so you'll have
0:04:33.750,0:04:37.44,them like kind of spread out in a grid
0:04:35.370,0:04:40.34,on your debt yeah essentially and then
0:04:37.440,0:04:43.20,move them around how does that help you
0:04:40.340,0:04:44.97,does that help you are you putting I
0:04:43.200,0:04:47.37,guess are you picturing them on a page
0:04:44.970,0:04:49.50,then is that you start or are you still
0:04:47.370,0:04:51.48,kind of picturing them in the air or
0:04:49.500,0:04:53.34,something like that very much in the air
0:04:51.480,0:04:55.98,and I'll do a thing where I'll start
0:04:53.340,0:04:57.98,writing by peeling out a car okay so
0:04:55.980,0:05:02.64,like I'll just randomly heal a card
0:04:57.980,0:05:04.23,coverts of the cube and start writing
0:05:02.640,0:05:09.57,from that on the computer okay
0:05:04.230,0:05:14.16,um I'm a big fan of crabs and gambler
0:05:09.570,0:05:16.26,and um and uh and I like to think of
0:05:14.160,0:05:19.29,words as if my rolls of the dice anyway
0:05:16.260,0:05:20.94,yeah so often when I'm beginning a poem
0:05:19.290,0:05:25.83,I'll start with just straight lines and
0:05:20.940,0:05:27.84,images or phrases quotations like this
0:05:25.830,0:05:30.00,and then when I'm at down sit down with
0:05:27.840,0:05:34.50,the computer I'll feel them out with
0:05:30.000,0:05:37.47,something like you're in geometry okay
0:05:34.500,0:05:39.60,um my son was teenage son was in
0:05:37.470,0:05:40.98,geometry taken off the tree but I was
0:05:39.600,0:05:43.50,thinking about Bruce before the
0:05:40.980,0:05:45.90,sculpture now geometrical is abstract
0:05:43.500,0:05:47.64,sculptures or okay so right like you're
0:05:45.900,0:05:49.14,in geometry which is also not something
0:05:47.640,0:05:55.55,I ended up using now I kind of like it
0:05:49.140,0:05:55.55,now it is good to be periodically fixing
0:05:55.669,0:06:01.41,so yeah I do it what a handwriting work
0:05:59.640,0:06:04.98,like that especially when I'm walking
0:06:01.410,0:06:07.41,okay and where you walk ah there is a
0:06:04.980,0:06:12.12,debate is about half a mile from here
0:06:07.410,0:06:13.92,for MA and the beach is about one mile
0:06:12.129,0:06:15.55,exactly so there's a beach called little
0:06:13.929,0:06:17.49,to welcome Beach uh-huh
0:06:15.550,0:06:20.22,I usually walk from here down to there
0:06:17.499,0:06:22.80,okay and sit on the rocks covered by the
0:06:20.229,0:06:25.53,water by the beach and will you write
0:06:22.809,0:06:27.58,while you're walking again okay yeah I
0:06:25.539,0:06:28.05,carry either note cards or notebook with
0:06:27.580,0:06:29.97,me
0:06:28.059,0:06:32.11,scribble things down as I'm walking and
0:06:29.979,0:06:35.00,do you have specific notebooks that you
0:06:32.110,0:06:39.90,use I mean that seems like a very unique
0:06:35.009,0:06:41.31,notebooks Byzantine cross yeah is that I
0:06:39.909,0:06:43.59,mean you kind of appropriate for a mouth
0:06:41.319,0:06:45.72,yeah no it is very you have a life but
0:06:43.599,0:06:49.08,you have many of those or I did it okay
0:06:45.729,0:06:50.91,and I'll write Ottoman I'm writing I'll
0:06:49.089,0:06:53.49,just write titles often I start with
0:06:50.919,0:06:54.66,just titles okay so just yesterday I
0:06:53.499,0:06:57.15,wrote false-negatives
0:06:54.669,0:07:00.36,team lullaby with Abraham and Daedalus
0:06:57.159,0:07:04.24,Isaac and a purist be-all and end-all
0:07:00.360,0:07:05.76,study for happiness okay and often I
0:07:04.240,0:07:09.24,start with a title like that and start
0:07:05.769,0:07:11.40,in the Lebanon in um scribbling down
0:07:09.249,0:07:13.97,lines for it in a journal like this one
0:07:11.409,0:07:16.59,New England when I get enough lines
0:07:13.979,0:07:17.94,either putting my note cards or just sit
0:07:16.599,0:07:20.81,down with the computer in the notebook
0:07:17.949,0:07:22.83,and start transcribing and moving around
0:07:20.819,0:07:30.66,things that I've written in the notebook
0:07:22.839,0:07:32.11,I can't remember the last time and I may
0:07:30.669,0:07:33.72,never have done it written an entire
0:07:32.110,0:07:35.91,poem by hand
0:07:33.729,0:07:38.05,okay without a typewriter or a computer
0:07:35.919,0:07:40.99,I know I just don't work that way yeah
0:07:38.050,0:07:43.08,but you do right by being a lot of the
0:07:40.990,0:07:45.09,pieces of the song I generate yeah
0:07:43.089,0:07:47.86,fragments are on the edge of
0:07:45.099,0:07:50.52,consolidating and moving inland making a
0:07:47.860,0:07:54.06,poem at home for me has always been done
0:07:50.529,0:07:58.36,on a computer or typewriter before you
0:07:54.069,0:08:00.00,yeah so what do you do to kind of say
0:07:58.360,0:08:01.50,like when you're finished with the
0:08:00.009,0:08:04.08,project or finish with these cards do
0:08:01.509,0:08:05.94,you save them somewhere uh yeah and I
0:08:04.089,0:08:08.13,was trying to find the rest of these I
0:08:05.949,0:08:09.69,have them but I can put my finger on but
0:08:08.139,0:08:13.65,they're somewhere someone is getting a
0:08:09.699,0:08:15.90,box or in a file cabinet or yes and how
0:08:13.659,0:08:20.88,many notebooks do you have at this point
0:08:15.909,0:08:24.24,um I have a lot there's a box up in this
0:08:20.889,0:08:31.08,space okay no particular order the other
0:08:24.249,0:08:34.77,thing I do you might be interested in is
0:08:31.089,0:08:38.31,um what's a year so I print out all the
0:08:34.779,0:08:41.03,notes all the computer writing up done
0:08:38.319,0:08:46.54,okay and I keep them in on family
0:08:41.039,0:08:49.35,journal though that is right here yeah
0:08:46.540,0:08:51.97,so this one for example is 1999 and
0:08:49.350,0:08:53.19,you'll see it a lot of times when I
0:08:51.970,0:08:55.66,worked on the computer or right
0:08:53.199,0:08:57.06,accounting journal yeah just sort of
0:08:55.660,0:09:00.18,what's going on and what I'm thinking
0:08:57.069,0:09:03.93,about and working with straight pieces
0:09:00.189,0:09:10.48,of poems that I've written down by hand
0:09:03.930,0:09:11.88,and then I don't know somehow it's
0:09:10.480,0:09:14.76,important to me to head it I'll print it
0:09:11.889,0:09:19.01,out because when I'm writing and in
0:09:14.769,0:09:21.67,between poems out often
0:09:19.019,0:09:24.13,skim through the printouts of previous
0:09:21.670,0:09:27.14,years yeah looking for pieces of poems
0:09:24.130,0:09:29.31,I've started but never finished or or
0:09:27.149,0:09:31.17,just straight lines it didn't go
0:09:29.319,0:09:34.80,anywhere but now they do
0:09:31.170,0:09:36.04,so is this served almost like so you
0:09:34.809,0:09:37.80,don't search for would you search for
0:09:36.040,0:09:39.46,things on your computer - or would you
0:09:37.809,0:09:41.71,you would rather
0:09:39.460,0:09:43.57,search your your own archives our own
0:09:41.710,0:09:46.69,index I don't like reading on the
0:09:43.570,0:09:48.25,computer or never have okay like to
0:09:46.690,0:09:51.85,write you're here but not read on it
0:09:48.250,0:09:53.86,yeah so you know and with this out that
0:09:51.850,0:09:56.11,does it keep giving me all the drafts of
0:09:53.860,0:09:57.37,every call that are written so and you
0:09:56.110,0:09:59.14,do this once a year you print out
0:09:57.370,0:10:02.41,everything once a year
0:09:59.140,0:10:05.05,so do you are there date on the poems
0:10:02.410,0:10:07.75,themselves I mean are you okay so you
0:10:05.050,0:10:10.36,date and you Totten do you put a time or
0:10:07.750,0:10:13.51,do you just I do like this one says
0:10:10.360,0:10:15.39,December 10th 1999 Vincent's birthday
0:10:13.510,0:10:15.97,and Don's print amount of time to think
0:10:15.399,0:10:20.35,of it
0:10:15.970,0:10:22.24,Friday morning 9:15 you know and then
0:10:20.350,0:10:24.82,I'll start talking about what's going on
0:10:22.240,0:10:34.69,and then start working on lines from a
0:10:24.820,0:10:36.61,poem yeah think about entomology gladden
0:10:34.690,0:10:38.56,penetrate lists interpenetrate
0:10:36.610,0:10:42.37,to penetrate for which comes kind of
0:10:38.560,0:10:44.32,Tralee a-- penetrate is to enter or
0:10:42.370,0:10:46.15,force away into to grasp the inner
0:10:44.320,0:10:47.74,meaning of you know it's sort of
0:10:46.150,0:10:51.67,associative yeah thank you
0:10:47.740,0:10:55.90,Jeff I'm going to do it in writing on
0:10:51.670,0:10:58.12,the computer ok often and when I'm not
0:10:55.900,0:11:00.27,doing that I'm walking and doing it in
0:10:58.120,0:11:02.32,my mind and jotting down notes in a
0:11:00.279,0:11:04.81,notebook do you have like a schedule to
0:11:02.320,0:11:07.63,which you try to keep or do you this
0:11:04.810,0:11:11.62,just kind of a continual work annual
0:11:07.630,0:11:14.29,okay I am when I'm in the summer or on
0:11:11.620,0:11:16.15,sabbatical is on sabbatical most of year
0:11:14.290,0:11:19.57,report last uh-huh
0:11:16.150,0:11:20.44,then I write every day yeah all day as
0:11:19.570,0:11:25.32,much as I can
0:11:20.440,0:11:29.47,um and I mean they're here at my desk
0:11:25.329,0:11:31.18,right there or right here or walking and
0:11:29.470,0:11:33.57,often I'll walk for two hours and come
0:11:31.180,0:11:35.94,back and write
0:11:33.570,0:11:37.95,so look what it's very good
0:11:35.940,0:11:41.01,I'm a really obsessive writer so when
0:11:37.950,0:11:43.20,I'm writing I do it kind of non-stop
0:11:41.010,0:11:45.66,okay but I've long periods where I don't
0:11:43.200,0:11:47.57,write and usually there any kind of
0:11:45.660,0:11:50.61,schedule and usually those correspond to
0:11:47.579,0:11:53.51,your teaching yeah okay and you teach is
0:11:50.610,0:11:55.98,Western on a quarter system okay see
0:11:53.519,0:12:02.37,teach from September to module agree
0:11:55.980,0:12:05.88,never to early June yeah okay so all
0:12:02.370,0:12:07.11,right so let me kind of back up for a
0:12:05.880,0:12:08.69,second
0:12:07.110,0:12:14.37,we've talked some about your practices
0:12:08.699,0:12:16.32,now the I'd like to kind of like think
0:12:14.370,0:12:18.54,about kind of different eras in your own
0:12:16.320,0:12:20.67,career and your writing practices then
0:12:18.540,0:12:23.13,too and we can kind of relate them a
0:12:20.670,0:12:24.87,little bit hopefully but before we got
0:12:23.130,0:12:27.95,could you could you say how long you've
0:12:24.870,0:12:33.24,been writing I have Mike this is an air
0:12:27.959,0:12:36.51,quotes look professionally um a lot of
0:12:33.240,0:12:42.54,memory my first book was published 198,0:12:36.510,0:12:44.57,so 98 2008 2025 can I take you and could
0:12:42.540,0:12:46.82,you give kind of a describe back in to
0:12:44.579,0:12:50.10,give a broad art of your career just to
0:12:46.829,0:12:51.77,kind of brown the interview and in terms
0:12:50.100,0:12:53.94,of what I've written is those yeah where
0:12:51.779,0:12:56.39,you been what what you know what's what
0:12:53.940,0:12:57.42,the progress has been etc okay so I grew
0:12:56.399,0:12:59.79,up in Macon Georgia
0:12:57.420,0:13:03.77,I started writing poems owners about 1,0:12:59.790,0:13:08.67,okay and really awful awful poems
0:13:03.779,0:13:10.58,finished well but I I kept writing all
0:13:08.670,0:13:13.44,through high school and went over in
0:13:10.589,0:13:16.64,college did a lot of creative writing
0:13:13.440,0:13:18.20,classes majored in English and then I
0:13:16.649,0:13:21.52,went to Columbia University MSA program
0:13:18.209,0:13:27.14,hmm after that immediately after that
0:13:21.529,0:13:30.08,graduate from there in 82 and did a
0:13:27.149,0:13:31.36,series of editorial jobs during the
0:13:30.089,0:13:33.83,first half
0:13:31.360,0:13:37.46,writing for alumni magazines and things
0:13:33.830,0:13:38.84,like that and other other magazines or
0:13:37.460,0:13:41.77,what for a magazine called good life
0:13:38.840,0:13:43.31,which was a magazine of design to be
0:13:41.779,0:13:43.73,marketed to the richest people in the
0:13:43.310,0:13:46.85,country
0:13:43.730,0:13:50.20,ah since I got 1% top 1% man
0:13:46.850,0:13:53.14,and ironically went bankrupt sure
0:13:50.200,0:13:59.77,kidding
0:13:53.140,0:14:01.63,and then in 86 Wesleyan University Press
0:13:59.779,0:14:06.80,accepted my first book who could
0:14:01.630,0:14:09.89,spirituals and and that gave me that
0:14:06.800,0:14:12.02,kind of jolt I needed to think because I
0:14:09.890,0:14:14.69,just felt this increasingly grotesque
0:14:12.020,0:14:17.42,disjunction between what I was doing for
0:14:14.690,0:14:20.33,a living what I cared about yeah
0:14:17.420,0:14:23.21,so I went back and got a PhD and at the
0:14:20.330,0:14:26.80,immersive virtual in American literature
0:14:23.210,0:14:31.91,your dissertation Emily Dickinson and
0:14:26.800,0:14:33.32,and in while I was in a ph.d program I
0:14:31.910,0:14:36.98,wrote most of my second book the
0:14:33.320,0:14:40.78,creation the 2005 State University Prize
0:14:36.980,0:14:43.91,and was published in 94 blue children
0:14:40.780,0:14:45.35,was that a troublemaker knows that the
0:14:43.910,0:14:48.23,next one was Charles right now that was
0:14:45.350,0:14:49.94,the I think David Cetina was current
0:14:48.230,0:14:53.48,judge of that
0:14:49.940,0:14:57.71,I came here to Western in 92 we've got
0:14:53.480,0:15:01.19,to Bellingham in 92 for 92 and in 9,0:14:57.710,0:15:07.21,Charles Wright picked the my third book
0:15:01.190,0:15:07.21,someone mr. go-to for the cover-up and
0:15:07.900,0:15:17.78,and in Leslie published signs and
0:15:10.339,0:15:20.54,abominations in 2005 years later
0:15:17.780,0:15:21.30,Lord bringing a book about cosmology in
0:15:20.540,0:15:25.26,the mind
0:15:21.300,0:15:26.94,bringing in yeah look at metaphysics
0:15:25.260,0:15:33.26,through the physicality of the brain and
0:15:26.940,0:15:36.64,and the structures of the cosmos one did
0:15:33.269,0:15:40.98,University of Georgia press competition
0:15:36.649,0:15:42.99,was published funny and then the corpse
0:15:40.980,0:15:44.45,flower my new intellectual poems was
0:15:42.990,0:15:49.37,published by the University of
0:15:44.459,0:15:52.20,Washington press Nina 2007 decades and
0:15:49.370,0:15:57.99,most recent was the Olivia which all
0:15:52.200,0:16:00.24,published in 2004 enduring and from 199,0:15:57.990,0:16:03.06,to now you've been professor at Western
0:16:00.240,0:16:07.26,watching game teaching
0:16:03.060,0:16:10.35,oh well it soap so I have the this kind
0:16:07.260,0:16:12.64,of broken apart into like composition
0:16:10.350,0:16:14.89,writing prewriting generative structure
0:16:12.649,0:16:16.70,revising revision and then
0:16:14.899,0:16:19.92,organizational archival which is more
0:16:16.709,0:16:20.88,like putting books together etc and I'd
0:16:19.920,0:16:23.39,like to talk about it in different
0:16:20.880,0:16:25.01,stages and events and so like if those
0:16:23.399,0:16:26.04,don't work for your writing profit let
0:16:25.019,0:16:28.07,me know that kind of talk about
0:16:26.040,0:16:31.58,differently but we'll put the probably
0:16:28.079,0:16:33.51,won't even probably saw but so what was
0:16:31.589,0:16:36.27,your so when you first like let's say
0:16:33.510,0:16:37.62,for you know right out of college at the
0:16:36.270,0:16:39.32,tuna first flip what was your writing
0:16:37.620,0:16:44.45,process like then I mean what were you
0:16:39.329,0:16:48.32,probably writing then I was a working as
0:16:44.459,0:16:51.06,I said a series of editorial jobs and
0:16:48.329,0:16:56.88,did a lot of writing at work which was
0:16:51.060,0:16:58.29,nice because I had jobs working for PR
0:16:56.880,0:17:03.45,offices at colleges and universities
0:16:58.290,0:17:05.25,yeah but they were jobs where there was
0:17:03.450,0:17:06.28,a huge amount of spare time where there
0:17:05.250,0:17:08.65,was really good
0:17:06.280,0:17:11.43,do ya I wasn't expected to and you're
0:17:08.650,0:17:15.13,something to be done you know that old
0:17:11.439,0:17:17.47,ads a maytag repair and there was an old
0:17:15.130,0:17:20.38,famous ad campaigning fair Maytag
0:17:17.470,0:17:21.73,washing machines and the joke of it was
0:17:20.380,0:17:24.03,that the washing machine neighbor
0:17:21.730,0:17:26.43,program so they had Maytag repairs and
0:17:24.030,0:17:28.87,the maytag repair people just really
0:17:26.439,0:17:31.12,bored and i didn't did so i had a sign
0:17:28.870,0:17:35.41,of my dog so my guess is hit my checker
0:17:31.120,0:17:41.08,bigger and up but i lost air time so
0:17:35.410,0:17:43.57,right a lot at work on my typewriter for
0:17:41.080,0:17:46.84,computers so it was a lot of my first
0:17:43.570,0:17:48.43,look in those jobs and so when you see
0:17:46.840,0:17:50.29,so when you talk about like the kind of
0:17:48.430,0:17:52.36,hurt like prewriting generated so are
0:17:50.290,0:17:54.94,you Rio is your that were you taking
0:17:52.360,0:17:56.62,notes like you do now I mean how how did
0:17:54.940,0:17:59.41,you get to the poems I guess to that
0:17:56.620,0:18:01.63,week I'll just typing you just type it
0:17:59.410,0:18:04.90,type it on them probably had one of
0:18:01.630,0:18:05.14,those notebooks here yeah yeah here's
0:18:04.900,0:18:09.04,one
0:18:05.140,0:18:10.81,and I was printing out looks a little
0:18:09.040,0:18:13.45,bit later this is 92 but it was printed
0:18:10.810,0:18:15.25,out on these long rolls of them printer
0:18:13.450,0:18:18.79,paper on the gold
0:18:15.250,0:18:23.56,don't style printer rolls that with the
0:18:18.790,0:18:25.78,like Syrian edges here yeah so yeah so
0:18:23.560,0:18:28.78,just try doing essentially what I do now
0:18:25.780,0:18:31.65,large chunks of prose that would lead to
0:18:28.780,0:18:35.83,ideas and sort of multiple ideas yeah
0:18:31.650,0:18:37.78,little segment on typewriter okay and
0:18:35.830,0:18:39.34,then printing it out that way so you
0:18:37.780,0:18:44.74,started when you were starting you were
0:18:39.340,0:18:46.96,writing on typewriter and and I had a
0:18:44.740,0:18:48.94,similar mode as kind of generative did
0:18:46.960,0:18:50.95,you do walks or anything like that and
