start,end,line
0:00:00.709,0:00:08.06,I'm just gonna let it roll okay I don't

0:00:04.080,0:00:13.84,know where this wound up sure you have

0:00:08.069,0:00:13.84,as many recordings and I'll do this

0:00:14.599,0:00:21.00,let's start this going this will just

0:00:19.890,0:00:25.32,catch both of us better

0:00:21.000,0:00:27.72,okay uh hi guys hi what do you turn

0:00:25.320,0:00:31.05,YouTube I think they did what do you

0:00:27.720,0:00:34.59,want to be asked about hmm little bone

0:00:31.050,0:00:38.34,recovery I didn't did you see very well

0:00:34.590,0:00:40.55,I like name fast and angles like pips we

0:00:38.340,0:00:42.21,can like have like a plugin thing where

0:00:40.559,0:00:44.16,you can like tell us conference with

0:00:42.210,0:00:47.61,your pet and give them a treat there's

0:00:44.160,0:00:49.11,like some new click I see couch and I

0:00:47.610,0:00:51.09,know they have things for people who are

0:00:49.110,0:00:53.19,gone a lot where you do like with their

0:00:51.090,0:00:55.44,with your baby or with your dog you can

0:00:53.190,0:00:56.73,like watch them right and this one

0:00:55.440,0:00:58.17,apparently it's like we put it on the

0:00:56.730,0:01:00.66,ground level and it has less kind of a

0:00:58.170,0:01:04.67,dispenser unbelievable using my robot

0:01:00.660,0:01:07.79,gear and then it is in the tree okay

0:01:04.670,0:01:09.15,it is a something else for sure and

0:01:07.799,0:01:11.46,there's like automatic like like

0:01:09.150,0:01:13.56,automatic sketch machines now and

0:01:11.460,0:01:15.65,transfer stuff I was kind of fascinated

0:01:13.560,0:01:19.50,Wow

0:01:15.650,0:01:21.18,okay so uh this will take like an hour

0:01:19.500,0:01:22.59,hour and a half if you feel you need to

0:01:21.180,0:01:25.71,you know get a drink of water those

0:01:22.590,0:01:29.49,bathroom okay became first you yeah and

0:01:25.710,0:01:33.00,I have it's kind of in three sections

0:01:29.490,0:01:34.77,okay the first section is kind of a more

0:01:33.000,0:01:37.20,quick short answer stuff about what

0:01:34.770,0:01:38.52,you're doing now um and it's based off a

0:01:37.200,0:01:41.36,thing that I don't know if you might

0:01:38.520,0:01:42.99,call your notice it was in my year she

0:01:41.369,0:01:44.70,didn't actually wasn't in no I don't

0:01:42.990,0:01:47.49,think I was this but she has a book from

0:01:44.700,0:01:50.13,four ways she's a nice anyway we did an

0:01:47.490,0:01:52.43,article earlier that interviewed kind of

0:01:50.130,0:01:54.11,emerging so it's about how they did this

0:01:52.439,0:01:55.50,is one more questions are from that okay

0:01:54.119,0:01:57.11,and then we'll talk more about the kind

0:01:55.500,0:02:00.09,of span of your career and how the

0:01:57.119,0:02:02.36,process have changed or not changed with

0:02:00.090,0:02:04.92,the computer okay uh but it's more I

0:02:02.369,0:02:06.06,mean it's that you don't need to feel

