start,end,line
0:00:01.639,0:00:07.31,are you sure let's get some nice shot to

0:00:05.100,0:00:14.51,the dogs get you food

0:00:07.319,0:00:18.77,I should be okay now is your thing on

0:00:14.519,0:00:21.00,here I it's red red that's great

0:00:18.779,0:00:22.59,so I'm just gonna okay I'm going to

0:00:21.000,0:00:23.58,record it as I kind of explain it to you

0:00:22.590,0:00:27.33,then I'm just going to check and make

0:00:23.580,0:00:30.48,sure this sound is right into it so I

0:00:27.330,0:00:32.70,have so the first part is kind of like

0:00:30.480,0:00:34.11,basically how you're working now with

0:00:32.700,0:00:38.85,the computer and stuff like that it's

0:00:34.110,0:00:40.11,based on the on the survey and article

0:00:38.850,0:00:43.14,that Collier and I did about two years

0:00:40.110,0:00:45.96,ago and I'm just looking at that

0:00:43.140,0:00:47.78,practice right now and then we'll go and

0:00:45.960,0:00:49.37,kind of talk about how the writing

0:00:47.789,0:00:51.62,practice has changed in relationship to

0:00:49.379,0:00:53.10,the computer I mean but it doesn't

0:00:51.629,0:00:54.78,always have to be about computer I'm

0:00:53.100,0:01:00.53,really just trying to adapt mark the

0:00:54.780,0:01:03.29,process types and how it's changed so do

0:01:00.539,0:01:07.22,you have any questions I don't think so

0:01:03.290,0:01:11.86,the grant for this

0:01:07.229,0:01:11.86,yeah that's great no yeah

0:01:26.170,0:01:35.95,yeah it's uh I mean I guess I supposed

0:01:31.340,0:01:35.95,to do ten of these you're number three

0:01:38.770,0:01:46.97,so you you have to go these coasts for

0:01:42.950,0:01:49.55,Louise and Robert yeah yeah I'll go

0:01:46.970,0:01:53.57,although there eventually I think I

0:01:49.550,0:01:58.12,think in May that's a good time to go

0:01:53.570,0:01:58.12,instead of March I know right

0:02:28.780,0:02:39.40,okay testing testing Jim you want to say

0:02:34.720,0:02:40.00,where we are and what day it is and who

0:02:39.400,0:02:43.92,you are

0:02:40.000,0:02:48.94,date of birth all that stuff okay

0:02:43.920,0:02:53.06,st. Patrick's Day 2014 we're in Long

0:02:48.940,0:03:07.39,Beach California I was born on July 19th

0:02:53.069,0:03:11.37,1939 and what else was there that this

0:03:07.390,0:03:11.37,is just a stop now

0:03:38.519,0:03:42.90,and so yeah we'll go through these and

0:03:41.069,0:03:44.44,come some of it gets a little repetitive

0:03:42.909,0:03:49.17,it's looking to be a little bit more

0:03:44.440,0:03:52.39,exhaustive and I guess we're gaining but

0:03:49.170,0:03:54.04,please if you just feel like we can

