start,end,line
0:00m02.720,0:00m08.13,okay okay um should I close that or he
,,
0:00m06.569,0:00m17.97,might just assume people don't bug us
,,
0:00m08.130,0:00m19.65,okay all right um so we're we can thank
,,
0:00m17.970,0:00m21.00,you very much for agreeing to do this
,,
0:00m19.650,0:00m23.64,Casey my pleasure
,,
0:00m21.000,0:00m26.03,okay would you please state through the
,,
0:00m23.640,0:00m27.39,camera your name your date of birth in
,,
0:00m26.039,0:00m29.88,the location that we're at right now
,,
0:00m27.390,0:00m31.94,Casey style and Mohammad October 10th
,,
0:00m29.880,0:00m35.21,1962 we're at Southern Oregon University
,,
0:00m31.949,0:00m36.66,in central hall okay so the first the
,,
0:00m35.219,0:00m39.12,first section is kind of a short answer
,,
0:00m36.660,0:00m43.02,it's meant to get a sense of your
,,
0:00m39.120,0:00m44.12,digital practices now and do you just
,,
0:00m43.020,0:00m44.96,kind of just kind of go through this and
,,
0:00m44.129,0:00m47.52,then we'll talk more about the
,,
0:00m44.969,0:00m51.14,composition okay so what joggers do you
,,
0:00m47.520,0:00m53.69,work in poetry okay and that's your
,,
0:00m51.149,0:00m55.85,primary genre yeah what kinds of devices
,,
0:00m53.699,0:01m00.00,do you own or have access to for writing
,,
0:00m55.850,0:01m02.34,this laptop MacBooks okay that's made of
,,
0:01m00.000,0:01m06.09,about it now the other things whatever
,,
0:01m02.340,0:01m08.34,scratch pad I might note an idea so do
,,
0:01m06.090,0:01m10.04,you see so you used only that one you
,,
0:01m08.340,0:01m12.45,write on a phone you write on any other
,,
0:01m10.049,0:01m14.10,things usually not I mean the laptop is
,,
0:01m12.450,0:01m19.20,the maintenance Oh threat back up to the
,,
0:01m14.100,0:01m22.59,management and you have an apple so and
,,
0:01m19.200,0:01m24.00,also I mean do you then when you said
,,
0:01m22.590,0:01m25.89,you use some note that you know paper
,,
0:01m24.000,0:01m27.63,sometimes I mean if I'm somewhere in all
,,
0:01m25.890,0:01m29.13,I have as a piece of scratch paper
,,
0:01m27.630,0:01m31.40,because I'm in a meeting and I get an
,,
0:01m29.130,0:01m34.50,idea and I want to lose it but that's I
,,
0:01m31.409,0:01m36.43,don't really do that that often okay so
,,
0:01m34.500,0:01m39.81,it's pretty primarily on that computer
,,
0:01m36.439,0:01m42.32,that it's mostly it okay do you have any
,,
0:01m39.810,0:01m45.03,I mean you for your writing this is
,,
0:01m42.329,0:01m46.71,where we get to do you ever have take
,,
0:01m45.030,0:01m49.02,like pre writing your notes for it I
,,
0:01m46.710,0:01m52.43,mean because of the kind of writing I do
,,
0:01m49.020,0:01m54.29,that usually doesn't come into play yeah
,,
0:01m52.439,0:01m57.45,I think will become clear when we talk
,,
0:01m54.299,0:01m58.77,about the actual composition okay and
,,
0:01m57.450,0:02m03.42,then what format do you save your
,,
0:01m58.770,0:02m05.13,digital files work we're done do you say
,,
0:02m03.420,0:02m06.36,the individual works as you go along or
,,
0:02m05.130,0:02m06.96,do you simply save over what you've
,,
0:02m06.360,0:02m08.78,written
,,
0:02m06.960,0:02m12.36,do you have like do you save like draft
,,
0:02m08.789,0:02m12.93,I don't know I don't I almost never
,,
0:02m12.360,0:02m15.12,saved
,,
0:02m12.930,0:02m17.22,it's okay so just open up a doc and
,,
0:02m15.120,0:02m19.89,write over it until I think it's
,,
0:02m17.220,0:02m23.22,finished okay and what are your naming
,,
0:02m19.890,0:02m25.23,conventions for your files usually the
,,
0:02m23.220,0:02m27.84,name of the poem followed by the file
,,
0:02m25.230,0:02m29.40,names and so yeah but in so because you
,,
0:02m27.840,0:02m31.68,don't use drafts you're just like it's
,,
0:02m29.400,0:02m33.54,just what I don't rename it once I've
,,
0:02m31.680,0:02m34.40,drafted it or anything yes because it
,,
0:02m33.540,0:02m36.45,just stays the same
,,
0:02m34.409,0:02m38.18,do you ever do you print out your
,,
0:02m36.450,0:02m42.09,writing to revise it
,,
0:02m38.180,0:02m46.07,no not typically okay no not what
,,
0:02m42.090,0:02m47.64,exactly I might do that on occasion with
,,
0:02m46.079,0:02m49.92,over the essay or something with an
,,
0:02m47.640,0:02m51.95,essay because yes I need to be able to
,,
0:02m49.920,0:02m54.26,easy on the eyes but the poems are
,,
0:02m51.959,0:02m56.09,usually shorter and again because of the
,,
0:02m54.269,0:02m57.87,specific nature of the composition sure
,,
0:02m56.099,0:03m01.26,as in some cases it will see it's like
,,
0:02m57.870,0:03m04.37,they can't really revise it very well at
,,
