start,end,line
0:00:01.760,0:00:04.76,okay

0:00:12.960,0:00:18.73,here we are

0:00:15.990,0:00:25.62,hey March 18th and this is interview

0:00:18.730,0:00:29.59,with Michael Ryan okay so it's the

0:00:25.620,0:00:31.81,interview kind of has two part the first

0:00:29.590,0:00:34.27,part I just sort of asked about your

0:00:31.810,0:00:35.71,current practices it's based on the

0:00:34.270,0:00:38.62,certainly Collier and I did for a

0:00:35.710,0:00:40.23,article about two years ago I was like

0:00:38.620,0:00:43.87,younger poets and how they work with

0:00:40.239,0:00:46.17,digital media so those are meant to be

0:00:43.870,0:00:49.87,sort of short answer just about how to

0:00:46.179,0:00:52.35,say okay like that sure and then then

0:00:49.870,0:00:57.90,we'll kind of talk more about the arc of

0:00:52.359,0:00:59.19,your career and different ways to leave

0:00:57.909,0:01:03.37,your progress has changed or not changed

0:00:59.199,0:01:08.65,in accordance with history yeah

0:01:03.370,0:01:10.72,technology culture um so if you don't

0:01:08.650,0:01:13.96,mind please state your name date of

0:01:10.720,0:01:17.38,birth and where we are Michael Ryan 24th

0:01:13.960,0:01:23.20,of February 1946 and I believe we're

0:01:17.380,0:01:25.27,never fine okay California and so this

0:01:23.200,0:01:28.63,is kind of how you work currently on

0:01:25.270,0:01:35.01,which honesty working as a writer write

0:01:28.630,0:01:38.20,prose and poetry essays love fiction and

0:01:35.010,0:01:43.96,mostly poems so you find are you guys

0:01:38.200,0:01:46.00,okay yeah and I know the perfect zone

0:01:43.960,0:01:47.59,this will be repetitive and I don't you

0:01:46.000,0:01:49.33,know the if it's like you're like okay I

0:01:47.590,0:01:52.15,did it fine

0:01:49.330,0:01:54.19,okay um what kind of devices do you own

0:01:52.150,0:01:57.18,or have access to free writing in terms

0:01:54.190,0:02:03.85,of computers devices yeah I have a

0:01:57.180,0:02:07.57,desktop computer and iPad I don't use

0:02:03.850,0:02:13.93,the iPad much but sometimes for internet

0:02:07.570,0:02:15.43,stuff so do you have that you have you

0:02:13.930,0:02:16.93,have a desktop computer here you have

0:02:15.430,0:02:18.90,one also at your

0:02:16.930,0:02:20.34,that you work all yours with you don't

0:02:18.909,0:02:23.59,miss something so that's your main

0:02:20.349,0:02:26.87,computer froze its Saturday lunch and

0:02:23.590,0:02:30.40,what operating system are you using a

0:02:26.879,0:02:34.56,Microsoft Word so we need a PC or Mac

0:02:30.400,0:02:35.90,it's pretty shitty and so you answer

0:02:34.569,0:02:38.70,that question

0:02:35.909,0:02:40.65,these computers exclusively for your

0:02:38.709,0:02:43.81,work or do you use both physical and

0:02:40.659,0:02:45.70,digital environments a lot of time and

0:02:43.810,0:02:47.76,do you mean you work on paper in

0:02:45.700,0:02:49.03,digitally you go back and forth or are

0:02:47.769,0:02:51.57,you at the point where you work

0:02:49.030,0:02:55.87,primarily on the computer work I dressed

0:02:51.579,0:02:59.56,a problems my hand and then I'll go back

0:02:55.870,0:03:04.91,to the computer and go sometimes back

0:02:59.560,0:03:04.91,and forth pros I write on the computer

0:03:10.859,0:03:17.34,and then it are their point during well

0:03:15.159,0:03:20.20,a Father's Day

0:03:17.340,0:03:21.97,at which point do you kind of like if

0:03:20.200,0:03:25.70,you're writing by hand like when you

0:03:21.970,0:03:30.19,move to the computer yeah it depends I

0:03:25.709,0:03:35.37,just it seems to be finished enough to

0:03:30.190,0:03:36.87,make a type 2 copy do you save you do

0:03:35.379,0:03:41.13,you have any pre writing your notes to

0:03:36.879,0:03:43.38,be finger it easily yeah again it

0:03:41.139,0:03:46.98,depends on the piece they're all very

0:03:43.389,0:03:49.87,different but sometimes they there's a

0:03:46.989,0:03:53.76,lot of notes sometimes there's not much

0:03:49.870,0:03:57.87,I don't usually take notes on the

0:03:53.769,0:04:03.63,computer I usually will do that by hand

0:03:57.870,0:04:05.62,and do you save those rewriting this is

0:04:03.639,0:04:09.04,the physical copy you keep in somewhere

0:04:05.620,0:04:11.56,I keep everything yeah and my papers are

0:04:09.040,0:04:14.10,at the University of Virginia so

0:04:11.560,0:04:20.31,theoretically someday I should be

0:04:14.109,0:04:20.31,sending what's accumulated yeah to them

0:04:21.000,0:04:25.82,how do you save your digital files like

0:04:24.669,0:04:32.28,you

0:04:25.820,0:04:37.52,pond5 I try to do them in terms of the

0:04:32.280,0:04:40.50,draft numbers like I will save the title

0:04:37.520,0:04:44.52,sometimes I'll put the date if it seems

0:04:40.500,0:04:47.13,germane but I will put numbers so that

0:04:44.520,0:04:51.30,the first draft that goes on the

0:04:47.130,0:04:53.91,computer is one and so forth yeah and

0:04:51.300,0:04:55.77,then you save them all in one well how

0:04:53.910,0:04:57.45,does it what the folder system like are

0:04:55.770,0:05:02.16,you saving them and just like poetry

0:04:57.450,0:05:07.98,folder yeah no this one currently is

0:05:02.160,0:05:11.97,prompt 2012 - because that was when I

0:05:07.980,0:05:16.17,finished my last book of poems so

0:05:11.970,0:05:18.87,they're kind of arranged by a book and

0:05:16.170,0:05:20.64,then so once you have the poem on a

0:05:18.870,0:05:25.05,computer you ever printed out to advise

0:05:20.640,0:05:29.12,it that way yes yes and you save paper

0:05:25.050,0:05:32.61,copies of those - yeah well usually I

0:05:29.120,0:05:35.76,can get a floppy about it but I try to

0:05:32.610,0:05:40.35,say most you have you do that you put

0:05:35.760,0:05:44.52,any viable pity boxes for years I have

0:05:40.350,0:05:47.31,big my office is filled with stacks of

0:05:44.520,0:05:53.10,brown boxes as you might remember and

0:05:47.310,0:05:56.31,it's all a big mess in a big pile it

0:05:53.100,0:06:01.59,could be several months away we are

0:05:56.310,0:06:04.17,lucky or or perhaps not so lucky

0:06:01.590,0:06:06.75,so look we're there also like brown bags

0:06:04.170,0:06:09.51,- it was just boxes I feel like I

0:06:06.750,0:06:12.51,remembers like paper bags no there were

0:06:09.510,0:06:14.82,no problem but they were sisters because

0:06:12.510,0:06:17.93,my memory screen memories of and then I

0:06:14.820,0:06:20.11,think I'd swap here that I already I am

0:06:17.930,0:06:23.69,make sure you like

0:06:20.110,0:06:28.59,playful of your pinky walking back

0:06:23.699,0:06:31.38,pathetic but not quite as pathetic do

0:06:28.599,0:06:33.09,you do you back up your digital copy you

0:06:31.389,0:06:35.31,have some sort of like you put them on a

0:06:33.099,0:06:39.55,hard drive somewhere Elser you know I

0:06:35.319,0:06:43.00,hope it has a backup of our system on it

0:06:39.550,0:06:46.50,I think it I get backs it up or

0:06:43.000,0:06:48.87,automatically okay see you don't are you

0:06:46.509,0:06:51.06,using something with Dropbox or and even

0:06:48.879,0:06:56.59,though I'm not running the bad things

0:06:51.069,0:06:58.44,wall and so once you're finished with

0:06:56.590,0:07:00.75,the phone how do you save that sort of

0:06:58.449,0:07:03.46,finished pizza is that does that go into

0:07:00.759,0:07:06.12,a manuscript file is that I mean what

0:07:03.460,0:07:08.59,happens once you feel like the poem well

