start,end,line
0:00:00.030,0:00:10.620,well and right there and that one that
0:00:09.059,0:00:13.110,has like an auto level so that should
0:00:10.620,0:00:14.429,work and I can see it so that's nice
0:00:13.110,0:00:18.660,usually usually I get really nervous
0:00:14.429,0:00:20.730,about 30 minutes in is it going and one
0:00:18.660,0:00:24.140,time one wasn't going which really made
0:00:20.730,0:00:27.689,me anxious but I got is why I have to
0:00:24.140,0:00:29.519,yeah these are the questions and it's
0:00:27.689,0:00:32.040,pretty open-ended and all there's sort
0:00:29.519,0:00:34.559,of a couple parts to it the first part
0:00:32.040,0:00:36.210,is is the very sort of meant to be
0:00:34.559,0:00:39.090,quickly going through your current
0:00:36.210,0:00:40.500,practices for your digital files it's a
0:00:39.090,0:00:42.719,survey that I did with that I've done
0:00:40.500,0:00:44.850,online with a bunch of emerging writers
0:00:42.719,0:00:47.460,and I'm asking all these all the
0:00:44.850,0:00:49.440,participants and this as well and then
0:00:47.460,0:00:50.850,we'll talk kind of specifically about
0:00:49.440,0:00:52.410,your writing processes for the problem
0:00:50.850,0:00:54.239,the majority and then there's there's
0:00:52.410,0:00:56.460,questions about computing and computers
0:00:54.239,0:00:58.469,and usually I don't usually we cover
0:00:56.460,0:00:59.699,those but sometimes like I go through
0:00:58.469,0:01:02.399,those a little bit too if we've gone
0:00:59.699,0:01:04.710,through things and I want to ask a few
0:01:02.399,0:01:07.130,more that's not okay do you need do you
0:01:04.710,0:01:10.500,have to go somewhere or anything okay
0:01:07.130,0:01:15.030,well yeah everyone has been hour and 15
0:01:10.500,0:01:16.799,hour and 45 right in there so so if you
0:01:15.030,0:01:18.950,would please state for the recording
0:01:16.799,0:01:22.790,devices your name in our location
0:01:18.950,0:01:25.049,Stephanie Strickland New York City okay
0:01:22.790,0:01:26.729,so in this section I asked what you
0:01:25.049,0:01:28.200,write and what you use to write it and
0:01:26.729,0:01:32.579,this is about how you can post currently
0:01:28.200,0:01:35.880,so what genre is do you write in do
0:01:32.579,0:01:38.100,books of poetry and I write critical
0:01:35.880,0:01:41.400,essays and I write
0:01:38.100,0:01:44.220,or and I make usually collaboratively
0:01:41.400,0:01:48.450,born-digital works okay and would you
0:01:44.220,0:01:50.310,say you have a primary genre what kind
0:01:48.450,0:02:03.440,of devices do you own or have access to
0:01:50.310,0:02:12.840,for your writing pens pencils okay I
0:02:03.440,0:02:16.170,keep an old XP machine I I like to Word
0:02:12.840,0:02:19.650
2003 I managed to get that in Word 2007
0:02:16.170,0:02:25.800,on that let's see okay and then I have a
0:02:19.650,0:02:27.780,little small which it's actually
0:02:25.800,0:02:30.150,probably most advanced I'm but again
0:02:27.780,0:02:34.230,it's Word 2007 is on there that I write
0:02:30.150,0:02:36.810,with and it's um for travel and then
0:02:34.230,0:02:41.180,since the last thing I made was a app
0:02:36.810,0:02:41.180,for iPad I was forced to buy an iPad
0:02:41.570,0:02:49.230,yeah mini a mini that's what I have but
0:02:47.280,0:02:53.250,I do that right you don't write on it
0:02:49.230,0:02:55.260,right now okay um and so you
0:02:53.250,0:03:02.100,and so the your the operating systems
0:02:55.260,0:03:03.810,you're using our mostly Windows okay do
0:03:02.100,0:03:05.880,you work on the different devices and
0:03:03.810,0:03:07.140,how do you work between like I guess if
0:03:05.880,0:03:10.200,we have all these devices what's your
0:03:07.140,0:03:12.700,sort of style for going between them I
0:03:10.200,0:03:15.230,[Music]
0:03:12.700,0:03:16.490,well if I'm generating new material I
0:03:15.230,0:03:17.840,will certainly do a certain amount of
0:03:16.490,0:03:23.959,writing by hand
0:03:17.840,0:03:25.850,you know I capture at various points of
0:03:23.959,0:03:29.750,the material in a word processing
0:03:25.850,0:03:33.410,program the the one I work with most
0:03:29.750,0:03:35.030,intuitively is Word 2003 I'm annoyed it
0:03:33.410,0:03:38.120,all have fun yeah
0:03:35.030,0:03:40.610,extra ridiculous functionality at least
0:03:38.120,0:03:43.970,there's no Clippy right yeah I mean
0:03:40.610,0:03:46.010,there's too much it's not directed you
0:03:43.970,0:03:47.330,know for what I wanted yeah and it
0:03:46.010,0:03:48.980,doesn't handle other things like
0:03:47.330,0:03:52.480,Photoshop would that you know that it
0:03:48.980,0:03:55.519,says that it will yeah um but
0:03:52.480,0:03:57.530,nonetheless it it's not supported
0:03:55.519,0:04:01.970,anymore it's with so much of the
0:03:57.530,0:04:03.590,software that I once used yeah so I yeah
0:04:01.970,0:04:06.680,I captured a different point certainly
0:04:03.590,0:04:08.390,capturing it online it's much better for
0:04:06.680,0:04:12.350,sharing it mm-hmm
0:04:08.390,0:04:15.400,and editing it to a degree but it's not
0:04:12.350,0:04:18.440,particularly good for it through one
0:04:15.400,0:04:19.940,what do you mean by well if you writing
0:04:18.440,0:04:22.450,something long whether the complex
0:04:19.940,0:04:24.950,argument I think it's much easier to
0:04:22.450,0:04:29.510,have it in front of human paper and read
