start,end,line
0:00:00.000,0:00:09.48,sit in workshop two which is probably

0:00:05.220,0:00:14.63,stupid but then I don't lose my voice by

0:00:09.480,0:00:16.08,the end of the residency well yeah it

0:00:14.639,0:00:17.94,was that was one of the weird things

0:00:16.080,0:00:23.18,that really changed for me when I quit

0:00:17.940,0:00:27.28,teaching full-time was my vocal cords do

0:00:23.189,0:00:30.66,not get the kind of workout they used to

0:00:27.289,0:00:33.93,does that yes I kept thinking why am I

0:00:30.660,0:00:44.52,losing my voice and I got the only thing

0:00:33.930,0:00:56.94,I can figure out us is recording yes ooh

0:00:44.520,0:00:58.82,me me yeah I'm just going to go and then

0:00:56.940,0:01:01.41,the reason I kind of added that was this

0:00:58.829,0:01:02.67,is for DSLR apparently will go for like

0:01:01.410,0:01:04.65,twenty four minutes but then it fills up

0:01:02.670,0:01:07.97,for gigs I'm going to have to get like

0:01:04.650,0:01:16.68,at the restart efficiency so if I forget

0:01:07.979,0:01:19.70,to do that yeah the other one will be

0:01:16.680,0:01:19.70,justice for food

0:01:32.010,0:01:40.45,and so you know I kind of think that the

0:01:37.450,0:01:42.22,interview will be I mean I've really

0:01:40.450,0:01:44.41,pretty familiar right now with your work

0:01:42.220,0:01:46.03,but it's going to focus more on the

0:01:44.410,0:01:47.56,practice so it's not so much like I'm

0:01:46.030,0:01:49.18,not going to prompt you by book cause I

0:01:47.560,0:01:50.38,like kind of imagery or something that

0:01:49.180,0:01:53.71,you were doing certain parts of your

0:01:50.380,0:01:57.84,career but I just want you to kind of go

0:01:53.710,0:02:00.94,and forget whatever we can from that and

0:01:57.840,0:02:02.32,and think about practice and how it's

0:02:00.940,0:02:04.09,changed and all that sort of thing is

0:02:02.320,0:02:06.28,kind of mean that's a real focus but

0:02:04.090,0:02:08.47,anything you think of the time and if

0:02:06.280,0:02:10.09,you repeat yourself the time okay and if

0:02:08.470,0:02:11.50,I'm annoying or if you're definitely

0:02:10.090,0:02:13.84,like down with the questions like okay

0:02:11.500,0:02:16.81,let's go okay I mean you know I'm just

0:02:13.840,0:02:18.43,trying to throw everything out okay

0:02:16.810,0:02:39.61,first time and we'll see what see how it

0:02:18.430,0:02:42.37,goes okay okay yeah okay

0:02:39.610,0:02:52.09,all right so just forgive you call me a

0:02:42.370,0:02:54.37,call when you're done yeah so I'm just

0:02:52.090,0:02:58.23,gonna go into town and have some coffee

0:02:54.370,0:03:00.51,or so I'm going okay work alrighty so oh

0:02:58.230,0:03:05.07,all right did you call me don't you need

