original,line
1,1012 poems sort of goes together you can
2,2 or 50 pages there's there's a kind of
3,20th century and I taught Hart Crane
4,3/3 load and then ultimately Kim and I
5,3:00 if I can stop by could we look at
6,9:00 I almost always have a night class
7,97 I can't remember now so it's still a
8,a big deal who knows yeah seems to be
9,a Buick
10,a couple of other interviews with
11,a final version of that poem called ant
12,a half three hour discussion about this
13,a higher-resolution thing
14,a hour and a half recording reading 12
15,a kind of theme I don't but I'm not
16,a little bit I don't think there's
17,a little screen is black and white
18,a lot of organization it's just where I
19,a myth and a shame only came out once
20,a not so special piece of technology
21,a phrase and that was that was a great
22,a scholar somebody who's willing to
23,a typewriter
24,a typewriter because it might have given
25,a way I suppose the best thing I could
26,a way the third the last poem in the
27,a which I still have still works a
28,a writer I wanted to write novel so I
29,a year or two before I begin to have
30,abbreviated little snippets which are
31,about 2008 maybe and I started out just
32,about a third it would just feel a lot
33,about it and I can't really blame him
34,about it and then I also print things
35,about it differently that's just how I
36,about it you like oh right that's what
37,about palms I resent him a couple of
38,about routine and schedule suppose
39,about that many poems that have already
40,about the internet I thought I hear what
41,about them that way except for the fact
42,about what she said with my two or three
43,about which version is which and the
44,about writing a poem how did you kind of
45,about you've written like 70 look let's
46,absolutely I mean it doesn't it never
47,absolutely I told Phil mean about he
48,absolutely the way I
49,abstract but nevertheless certain sense
50,accepted so I got like hooked on that
51,access to you but there's also surgery
52,account that I just kind of keep private
53,accumulative thing in some ways I mean
54,ACK so he had to read poems from from
55,across you well it look it will keep
56,active I think it's gone anyway I can't
57,actually talks about these things they
58,actually yeah that's so that's my
59,address its Boise oh it's that asshole
60,addresses I get a lot of writerly emails
61,advent of any other kind of technology
62,aesthetically is a completely other kind
63,after drawing a line about what the
64,again and kind of where you got to say
65,again I guess you're talking about the
66,again then let's see went to Norwich and
67,again within the first three or four
68,Air and I no longer have an external
69,all about this stuff at the that's a
70,all bra which looks like Alda bird but
71,all my all my Word files and I've still
72,all of them positive nobody know they're
73,all over the place because that's what I
74,all the excitement happens that the
75,all the poems I think might comprise the
76,all these books of mine are going to be
77,all those all those communications from
