timestamp,speaker,words,tags,highlight,timelink
   ,,"(Conversation about some of the art around Glück's apartment, and the print she used for the cover of Village Life)",,
 223,DB:,"If you would state your name and the location we're at for this interview.",,
 ,LG:,"Louise Glück. Glück is spelled with a ü and an umlaut, and the name is Hungarian. We're in Cambridge, Massachusetts in my apartment.",,
 ,DB:,"Of course, I know the answers to many of these questions but&#8212;what genres do you work in?",,
 ,LG:,"Poetry. I have written some essays and some forewords to books when I was judging first book prize contests. But in the main, poetry.",career,
 268,DB:,"Are you going to collect those essays?",career,
 ,LG:,"Yeah.",career,
 ,DB:,"Good, those are so excellent. You worked really hard at them, I know.",career,
 ,LG:,"I worked so hard, and they ruined ten summers because it made me frantic with anxiety&#8212;the idea of trying to serve a new talent and to describe its uniqueness. And, you know, it's a natural offshoot of teaching, which I've loved for years. I loved everything about judging those contests, and I loved working with the poets on their manuscripts. And in the early days before Yale Press was convinced that this was worthwhile, I used to buy a plane ticket for people so they could come here and spend three days working.",career;yaleyounger,
 ,DB:,"Okay.",career;yaleyounger,
 ,LG:,"Then I would make very detailed recommendations, which they were free to not take because the book had won. On the other hand, they weren't free to change the books any which way because I could say, &quot;This is not the book I chose.&quot; They could stay exactly as they were, or they could respond to suggestions and work further. Many of them actually felt a great need for that kind of work and they just didn't have somebody who was willing to take that kind of detailed daily interest.",career;yaleyounger,
 ,DB:,"From what I've experienced, it doesn't seem to be a very common thing for the selector to take a real interest after they choose and then they're done&#8212;and they get their money and they're on their way.",yaleyounger,
 ,LG:,"I think that's sort of how most of them feel and most of them also don't want to read a lot of books. Or in some contests, they're not permitted to. They're sent ten finalists screened by&#8212;",yaleyounger,
 ,DB:,"Who knows?",yaleyounger,
 ,LG:,"It varies. But if these manuscripts are being screened by people whose aesthetic judgment you question, you don't know what you're getting. So I asked to see as many as possible with the understanding that nothing would be thrown out until a winner was chosen because if I didn't find a winner in a hundred manuscripts, I was going to see the next hundred.",yaleyounger,
 ,DB:,"Right.",yaleyounger,
 ,LG:,"And that was all fun because you didn't have to read each book through to completion, and you didn't have to write a little paragraph evaluating it the way you do for other kinds of things. If you didn't love it, it was unlikely you would choose it. You would put it in the &quot;unlikely&quot; pile&#8212;and my living room was filled with piles, identifiable by me&#8212;and then at the end, I would read through the piles to see whether something got promoted or demoted. Some years were thrilling, I mean, it was too much stuff. In those years, most of the runners up ended up winning.",yaleyounger,
 ,DB:,"Some other&#8212;?",yaleyounger,
 ,LG:,"Well, later Yale prizes.",yaleyounger,
 ,DB:,"Oh okay. You would encourage them to resubmit.",yaleyounger,
 ,LG:,"Yeah. Some people would submit like three and four times.",yaleyounger,
 ,DB:,"Yeah, that's interesting. I want to know who it is.",yaleyounger,
