line,words
1,"DB: Thank you very much for agreeing to do this, Kasey."
2,
3,KM: My pleasure. Thanks for coming.
4,
5,"DB: Would you please state, for the camera, your name, your date of birth, and the location we're at right now?"
6,
7,"KM: Kasey Silem Mohammad. October 10, 1962. We're at Southern Oregon University in Central Hall."
8,
9,"DB: So, the first section is kind of short-answer. It's meant to get a sense of your digital practices now. So, we'll just kind of go through this and we'll talk more about the composition. So, what genres do you work in?"
10,
11,KM: Poetry.
12,
13,"DB: OK, and that's your primary genre?"
14,
15,KM: Yeah.
16,
17,"DB: What kinds of devices do you own, or have access to for writing?"
18,
19,"KM: This laptop, a MacBook. I mean, that's about it, other than whatever scratchpad I might put a note or idea in."
20,
21,DB: So you use only that one? Do you write on a phone? Do you write on any other things?
22,
23,"KM: Usually not. I mean, the laptop is the main instrument."
24,
25,DB: The laptop is the main instrument.
26,
27,KM: Yeah.
28,
29,DB: And you have an Apple.
30,
31,KM: Mhmm.
32,
33,DB: You said you use some note paper sometimes?
34,
35,"KM: I mean, if I'm somewhere and all I have is a piece of scratch paper because I'm in a meeting and I get an idea. But I don't really do that often."
36,
37,"DB: OK, so it's pretty primarily on that computer?"
38,
39,KM: That is mostly it.
40,
41,"DB: OK. Do you ever make pre-writing notes for it, or&#8212;?"
42,
43,"KM: Because of the kind of writing I do, that usually doesn't come in to play."
44,
45,DB: Yeah.
46,
47,KM: Which I think will become clearer when we talk about the actual composition.
48,
49,DB: OK. In what format do you save your digital files?
50,
51,KM: Word.
52,
53,DB: Word doc.
54,
55,KM: Mhmm.
56,
57,"DB: Do you save individual works as you go along, or do you simply save over what you've written? Do you save drafts?"
58,
59,"KM: Oh, no. I don't. I probably should, but I almost never save drafts. I just open up a doc and write over it until I think it's finished."
60,
61,DB: OK. And what are your naming conventions for your files?
62,
63,"KM: Usually the name of the poem, followed by the file name."
64,
65,"DB: And so, because you don't use drafts, it's just the one?"
66,
67,KM: Yeah. I don't rename it once I've drafted it or anything. It just stays the same.
68,
69,DB: Do you print out your writing to revise it?
70,
71,"KM: No, not typically."
72,
73,DB: OK.
74,
75,"KM: Well, I mean, I might do that on occasion with something like an essay because it's easier on the eyes. But the poems are usually shorter, and again because of the specific nature of the composition, in some cases, you'll see I can't revise it really well at all if it's not on a computer."
76,
77,DB: Yeah. Do you ever save any paper copies of interim drafts?
78,
79,KM: Usually not. I think the only exception to that is maybe I have some paper copies somewhere of something I wrote in college and hope no one ever sees&#8212;maybe it's the way they're written. I don't ever bother to try and scribe them digitally.
80,
81,DB: Do you back up your work?
82,
83,"KM: When I remember, yeah."
84,
85,DB: And how often do you do that?
86,
87,"KM: Oh, god. I don't know. I probably need to do it right now&#8212;excuse me! Really, it's very erratic."
88,
89,DB: OK. Do you have Dropbox or anything?
90,
